280000000e	ՄԱՏԹԷՈՍ
2801010073	Յիսուս Քրիստոսի՝ Դաւիթի որդիին, Աբրահամի որդիին ծնունդի գիրքը:
2801020090	Աբրահամ ծնաւ Իսահակը. Իսահակ ծնաւ Յակոբը. Յակոբ ծնաւ Յուդան ու անոր եղբայրները.
2801030084	Յուդա ծնաւ Փարէսն ու Զարան՝ Թամարէն. Փարէս ծնաւ Եսրոնը. Եսրոն ծնաւ Արամը.
2801040075	Արամ ծնաւ Ամինադաբը. Ամինադաբ ծնաւ Նաասոնը. Նաասոն ծնաւ Սաղմոնը.
2801050085	Սաղմոն ծնաւ Բոոսը՝ Ռախաբէն. Բոոս ծնաւ Ովբէդը՝ Հռութէն. Ովբէդ ծնաւ Յեսսէն.
2801060087	Յեսսէ ծնաւ Դաւիթ թագաւորը. Դաւիթ թագաւորը ծնաւ Սողոմոնը՝ Ուրիայի կնոջմէն.
2801070029	Սողոմոն ծնաւ Ռոբովամը.
28010800af	Ռոբովամ ծնաւ Աբիան. Աբիա ծնաւ Ասան. Ասա ծնաւ Յովսափատը. Յովսափատ ծնաւ Յովրամը. Յովրամ ծնաւ Ոզիան.
2801090069	Ոզիա ծնաւ Յովաթամը. Յովաթամ ծնաւ Աքազը, Աքազ ծնաւ Եզեկիան.
28010a0047	Եզեկիա ծնաւ Մանասէն. Մանասէ ծնաւ Ամոնը.
28010b00a9	Ամոն ծնաւ Յովսիան. Յովսիա ծնաւ Յեքոնիան ու անոր եղբայրները՝ Բաբելոնի տարագրութեան ատենները.
28010c0060	Բաբելոնի տարագրութենէն ետք՝ Յեքոնիա ծնաւ Սաղաթիէլը.
28010d0083	Սաղաթիէլ ծնաւ Զօրաբաբէլը. Զօրաբաբէլ ծնաւ Աբիուդը. Աբիուդ ծնաւ Եղիակիմը.
28010e008d	Եղիակիմ ծնաւ Ազովրը. Ազովր ծնաւ Սադովկը. Սադովկ ծնաւ Աքինը. Աքին ծնաւ Եղիուդը.
28010f004f	Եղիուդ ծնաւ Եղիազարը. Եղիազար ծնաւ Մատթանը.
28011000b1	Մատթան ծնաւ Յակոբը. Յակոբ ծնաւ Յովսէփը՝ ամուսինը Մարիամի, որմէ ծնաւ Յիսուս, որ կոչուեցաւ Քրիստոս:
2801110161	Ուրեմն բոլոր սերունդները Աբրահամէն մինչեւ Դաւիթ՝ տասնչորս սերունդ են, եւ Դաւիթէն մինչեւ Բաբելոնի տարագրութիւնը՝ տասնչորս սերունդ, ու Բաբելոնի տարագրութենէն մինչեւ Քրիստոս՝ տասնչորս սերունդ:
28011200f0	Յիսուս Քրիստոսի ծնունդը եղաւ սա՛ կերպով: Անոր մայրը՝ Մարիամ, Յովսէփի նշանուած, Սուրբ Հոգիէն յղացած գտնուեցաւ՝ դեռ իրարու քով չեկած:
28011300c3	Յովսէփ՝ անոր ամուսինը, արդար մարդ ըլլալով, ու չուզելով որ խայտառակէ զայն, կը ծրագրէր ծածկաբար արձակել զայն:
2801140150	Մինչ ան ա՛յդպէս կը մտածէր, ահա՛ Տէրոջ հրեշտակը երեւցաւ անոր՝ երազի մէջ, եւ ըսաւ. «Յովսէ՛փ, Դաւիթի՛ որդի, մի՛ վախնար քովդ առնել կինդ՝ Մարիամը, որովհետեւ անոր մէջ յղացուածը Սուրբ Հոգիէն է:
28011500c4	Ան պիտի ծնանի որդի մը, եւ անոր անունը Յիսուս պիտի կոչես, քանի որ ա՛ն պիտի փրկէ իր ժողովուրդը իրենց մեղքերէն»:
2801160093	Այս ամէնը կատարուեցաւ, որպէսզի իրագործուի մարգարէին միջոցով ըսուած Տէրոջ խօսքը.
28011700d4	«Ահա՛ կոյսը պիտի յղանայ ու որդի պիտի ծնանի, եւ անոր անունը Էմմանուէլ պիտի կոչեն», որ կը թարգմանուի՝ Աստուած մեզի հետ:
