2800000009	San Mateo
2801010046	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
2801020067	Abraham engendró á Isaac: é Isaac engendró á Jacob: y Jacob engendró á Júdas y á sus hermanos:
280103006b	Y Júdas engendró de Thamar á Pháres y á Zara: y Pháres engendró á Esrom: y Esrom engendró á Aram:
280104005b	Y Aram engendró á Aminadab: y Aminadab engendró á Naason: y Naason engendró á Salmon:
2801050064	Y Salmon engendró de Rahab á Bóoz: y Bóoz engendró de Ruth á Obed: y Obed engendró á Jessé:
2801060066	Y Jessé engendró al rey David: y el rey David engendró á Salomon de la [que fué mujer] de Urías:
2801070054	Y Salomon engendró á Roboam: y Roboam engendró á Abia: y Abia engendró á Asá:
2801080059	Y Asá engendró á Josaphat: y Josaphat engendró á Joram: y Joram engendró á Ozías:
2801090059	Y Ozías engendró á Joatam: y Joatam engendró á Achaz: y Achaz engendró á Ezechias:
28010a005c	Y Ezechias engendró á Manasés: y Manasés engendró á Amon: y Amon engendró á Josías:
28010b0055	Y Josías engendró á Jeconías y á sus hermanos, en la trasmigracion de Babilonia:
28010c006f	Y despues de la trasmigracion de Babilonia, Jeconías engendró á Salatiel: y Salatiel engendró á Zorobabel:
28010d005c	Y Zorobabel engendró á Abiud: y Abiud engendró á Eliaquim: y Eliaquim engendró á Azor:
28010e0052	Y Azor engendró á Sadoc: y Sadoc engendró á Aquim: y Aquim engendró á Eliud:
28010f0059	Y Eliud engendró á Eleázar: y Eleázar engendró á Matan: y Matan engendró á Jacob:
2801100064	Y Jacob engendró á José, marido de María, de la cual nació Jesus, el cual es llamado el Cristo.
28011100ee	De manera que todas las generaciones desde Abraham hasta David, [son] catorce generaciones: y desde David hasta la trasmigracion de Babilonia, catorce generaciones: y desde la trasmigracion de Babilonia hasta Cristo, catorce generaciones.
28011200a0	Y el nacimiento de Jesu-Cristo fué así: que siendo María su madre desposada con José, ántes que se juntasen, se halló haber concebido del Espíritu Santo.
2801130056	Y José su marido, como era justo y no quisiese infamarla, quiso dejarla secretamente.
28011400d2	Y pensando él en esto, hé aquí el ángel del Señor le aparece en sueños, diciendo: José, hijo de David, no temas de recibir á María tu mujer: porque lo que en ella es engendrado, del Espíritu Santo es.
280115005a	Y parirá Hijo, y llamarás su nombre JESUS, porque él salvará su pueblo de sus pecados.
2801160064	Todo esto aconteció para que se cumpliese lo que fué dicho por el Señor por el profeta, que dijo:
2801170075	Hé aquí la vírgen concebirá, y parirá hijo, y llamarás su nombre Emmanuel, que declarado es: Con nosotros Dios.
2801180068	Y despertando José del sueño, hizo como el ángel del Señor le habia mandado, y recibió á su mujer.
2801190054	Y no la conoció hasta que parió á su Hijo primogénito: y llamó su nombre JESUS.
2802010081	Y COMO fué nacido Jesus en Bethlehem de Judéa en dias del rey Heródes, hé aquí unos magos vinieron del Oriente á Jerusalem,
2802020083	Diciendo: ¿Dónde está el Rey de los Judíos, que ha nacido? porque su estrella hemos visto en el Oriente, y venimos á adorarle.
2802030045	Y oyendo [esto] el rey Heródes, se turbó, y toda Jerusalem con él.
280204007d	Y convocados todos los príncipes de los sacerdotes, y los escribas del pueblo, les preguntó donde habia de nacer el Cristo.
2802050055	Y ellos le dijeron: En Bethlehem de Judéa; porque así está escrito por el profeta:
28020600a0	Y tu Bethlehem, [de] tierra de Judá, no eres muy pequeña entre los príncipes de Judá; porque de tí saldrá un Guiador, que apacentará á mi pueblo Israel.
2802070083	Entónces Heródes, llamando en secreto á los magos, entendió de ellos diligentemente el tiempo del aparecimiento de la estrella;
