2800000007	Matthew
2801010064	Abraham laga chokra, David laga chokra, Jisu Khrista laga purbo khandan laga likhi kene rakha kitab.
2801020080	Abraham, Isaac laga baba hoise, aru Isaac, Jacob laga baba hoise, aru Jacob, Judah aru tai laga bhai-kokai khan laga baba hoise.
280103007f	Judah pora Perez laga baba, aru Zerah pora Tamar laga baba, Perez pora Hezron laga baba hoise, aru Hezron, Ram laga baba hoise.
280104006c	Ram, Amminadab laga baba hoise, aru Amminadab, Nahshon laga baba hoise, aru Nahshon, Salmon laga baba hoise.
280105008d	Salmon, Boaz laga baba hoise, etu to Rahab logot pora hoise, aru Boaz, Obed laga baba Ruth logot pora hoise, aru Obed, Jesse laga baba hoise.
2801060063	Jesse, Raja David laga baba hoise, aru David, Solomon laga baba, Uriah laga maiki logot pora hoise.
2801070075	Solomon pora Rehoboam laga baba hoise, aru Rehoboam pora Abijah laga baba hoise, aru Abijah pora Asa laga baba hoise.
2801080078	Asa pora Jehoshaphat laga baba hoise, aru Jehoshaphat pora Joram laga baba hoise, aru Joram pora Uzziah laga baba hoise.
2801090071	Uzziah pora Jotham laga baba hoise, aru Jotham pora Ahaz laga baba hoise, aru Ahaz pora Hezekiah laga baba hoise.
28010a0075	Hezekiah pora Manasseh laga baba hoise, aru Manasseh pora Amon laga baba hoise, aru Amon pora Josiah laga baba hoise.
28010b0078	Josiah pora Jechoniah aru tai laga bhai-kokai khan laga baba hoise jitia taikhan ke Babylon desh te dhurikene loi jaise.
28010c0072	Babylon te loija pichete, Jechoniah pora Shealtiel laga baba hoise, aru Shealtiel pora Zerubbabel laga baba hoise.
28010d004d	Zerubbabel pora Abiud laga baba hoise, aru Eliakim pora Azor laga baba hoise.
28010e006c	Azor pora Zadok laga baba hoise, aru Zadok pora Achim laga baba hoise, aru Achim pora Eliud laga baba hoise.
28010f0075	Eliud pora Eleazar laga baba hoise, aru Eleazar pora Matthan laga baba hoise, aru Matthan pora Jacob laga baba hoise.
2801100077	Jacob pora Joseph laga baba hoise, jun laga maiki Mary asele, jun pora Jisu ke jonom dise, aru Khrista koi kene matise.
