2800000006	Matius
2801010096	Kitab ini mencatat tentang kisah Yesus sang Mesias, keturunan dari Daud, dan Daud adalah keturunan dari Abraham. Inilah permulaan garis keturunan-Nya.
2801020016	Abraham, Ishak, Yakub,
280103003b	Yehuda, Peres (dan Zerah, ibu mereka adalah Tamar), Hezron,
2801040017	Ram, Aminadab, Nahason,
2801050044	Salmon, Boaz (ibunya bernama Rahab), Obed (ibunya adalah Rut), Isai,
2801060034	Raja Daud, Salomo (ibunya adalah mantan istri Uria),
2801070014	Rehoboam, Abia, Asa,
2801080015	Yosafat, Yoram, Uzia,
2801090014	Yotam, Ahaz, Hizkia,
28010a0015	Manasye, Amon, Yosia,
28010b004f	dan Yosia ayah Yoyakhin dan saudara-saudaranya, pada waktu pembuangan ke Babel.
28010c0090	Sesudah bangsa Israel kembali pulang dari penawanan di Babel sampai Yesus dilahirkan, inilah daftar nenek moyang-Nya, yaitu Sealtiel, Zerubabel,
28010d0015	Abiud, Eliakim, Azor,
28010e0013	Zadok, Akim, Eliud,
28010f0016	Eleazar, Matan, Yakub.
2801100042	Dan Yusuf yang adalah suami Maria, ibu Yesus, yang disebut Mesias.
28011100d2	Jadi mulai dari Abraham sampai Daud ada 14 generasi, dari Daud sampai bangsa Israel diangkut ke Babel sebagai tawanan ada 14 generasi, dan sesudah kembali dari penawanan sampai lahirnya Mesias, ada 14 generasi.
28011200b4	Inilah kisah kelahiran Yesus sang Mesias. Ibu-Nya, Maria bertunangan dengan Yusuf, tetapi sebelum mereka sah menjadi suami dan istri, Maria sudah hamil oleh karena kuasa Roh Kudus.
28011300b0	Yusuf, tunangan Maria, adalah seorang pria yang baik dan tidak ingin mempermalukan Maria di depan umum, maka dia bermaksud untuk memutuskan pertunangan mereka dengan diam-diam.
28011400cb	Sementara Yusuf sedang memikirkan hal ini, malaikat Tuhan datang kepadanya dalam mimpinya dan berkata, “Yusuf, keturunan Daud, janganlah takut untuk menikahi Maria sebab dia hamil oleh kuasa Roh Kudus.
28011500a4	Dia akan melahirkan seorang anak laki-laki dan kamu akan memberi nama Yesus kepada anak itu, sebab anak itu akan menyelamatkan orang-orang dari dosa-dosa mereka.”
2801160051	(Semua ini terjadi untuk menepati janji-janji yang Tuhan berikan melalui nabinya:
28011700a9	“Seorang perawan akan mengandung, dan akan melahirkan seorang anak laki-laki. Dan mereka akan menyebut anak itu Imanuel,” yang artinya “Allah ada bersama kita.”)
280118005c	Ketika Yusuf bangun dari tidurnya, dia melakukan apa yang dikatakan oleh malaikat Tuhan itu.
2801190089	Yusuf menikahi Maria, tapi tidak bersetubuh dengannya sampai sesudah Maria melahirkan seorang anak laki-laki, dan memberi-Nya nama Yesus.
2802010097	Sesudah Yesus dilahirkan di kota Betlehem di daerah Yudea di bawah pemerintahan Raja Herodes, beberapa orang bijak datang dari arah timur ke Yerusalem.
2802020090	“Dimanakah Raja orang Yahudi yang baru lahir itu?” tanya mereka. “Kami melihat bintangnya di timur dan kami datang untuk menyembah Dia.”
2802030063	Ketika Raja Herodes mendengar berita ini, dia dan seluruh penduduk Yerusalem merasa sangat gelisah.
2802040070	Lalu Herodes memanggil semua imam kepala dan guru-guru agama, dan bertanya di mana Mesias seharusnya dilahirkan.
2802050062	“Di kota Betlehem di daerah Yudea”, jawab mereka, “sebab itulah yang ditulis oleh para nabi:
28020600cd	‘Betlehem di daerah Yudea, kamu tidak menjadi kota yang paling tidak penting di antara kota-kota besar di Yehuda, sebab seorang pemimpin yang berasal dari padamu akan menggembalakan umat-Ku Israel.’”
28020700d9	Lalu Herodes memanggil orang-orang bijak itu dan mengadakan pertemuan dengan mereka secara pribadi. Dalam pertemuan ini Herodes mendapat tahu dari mereka waktu yang tepat tentang kapan bintang itu muncul pertama kali.
28020800e2	Dan dikirimnya mereka ke kota Betlehem dengan pesan, “Ketika kalian tiba di sana, carilah tempat anak itu berada. Dan ketika kalian menemukan-Nya, segeralah mengabariku, agar saya juga dapat datang dan menyembah Dia juga.”
28020900e7	Sesudah mereka mendengar perkataan sang raja, mereka berangkat. Di langit muncul bintang yang mereka lihat di timur yang memimpin mereka selama ini, sampai bintang itu kemudian berhenti tepat di atas tempat di mana anak itu berada.
28020a0045	Maka ketika mereka melihat bintang itu, sangat bersukacitalah mereka!
28020b0101	Lalu masuklah mereka ke dalam rumah itu dan melihat anak itu bersama dengan Maria, ibunya. Mereka membungkukkan tubuh dan menyembah Dia. Lalu membuka tas-tas mereka yang penuh dengan harta benda, dan memberi kepada-Nya hadiah berupa emas, kemenyan, dan mur.
28020c008d	Karena diperingati dalam mimpi untuk tidak kembali kepada Herodes, orang-orang bijak ini kembali ke negeri mereka melalui jalan yang berbeda.
28020d0143	Dan sesudah orang-orang bijak itu pulang, malaikat Tuhan muncul kembali kepada Yusuf melalui sebuah mimpi, dan berkata, “Bangunlah, dan bawalah anak itu dengan ibunya, dan larilah ke Mesir. Tinggallah di situ sampai saya memberi kabar lagi kepadamu untuk kembali. Sebab Herodes ingin mencari Anak itu dan membunuh Dia.”
