2800000006	Mateyo
2801010068	Uwu e mulongo wa bamashali bakulukulu ba Yesu, mushukulu wa Dafeti, uyo walikuba mushukulu wa Abulahamu.
280102005d	Abulahamu walasema Isake, nendi Isake walasema Yakobo, Nendi Yakobo walasema Yuda ne bakwabo,
2801030061	Yuda walasema Pelesi ne Sela muli Tamala, Pelesi walasema Hesiloni, Nendi Hesiloni walasema Lamu,
2801040059	Lamu walasema Aminadabu, nendi Aminadabu walasema Nasoni, nendi Nasoni walasema Salumoni,
2801050067	Salumoni walasema Bowasi muli Lahabi, nendi Bowasi walasema Obedi muli Lute, nendi Obedi walasema Jesi,
2801060058	Jesi walasema Mwami Dafeti, nendi Dafeti walasema Solomoni mu mukashi walikuba wa Uliya.
2801070056	Solomoni walasema Lehabyamu, nendi Lehabyamu walasema Abiya, nendi Abiya walasema Asa,
280108005d	nendi Asa walasema Yehosafati, nendi Yehosafati walasema Yolamu, nendi Yolamu walasema Usiya,
2801090052	Usiya walasema Yotamu, Nendi Yotamu walasema Ahazi, Nendi Ahazi walasema Hezekiya,
28010a0059	nendi Hezekiya walasema Manase, nendi Manase walasema Amoni, nendi Amoni walasema Yosiya,
28010b005d	Yosiya walasema Yekoniya ne bakwabo pacindi bana Baisilayeli mpobalikumantwa busha ku Babulo.
28010c006d	Baisilayeli mpobalamantwa busha ku Babulo, Yekoniya walasema Salatiyele nendi Salatiyele walasema Zelubabele,
28010d005d	nendi Zelubabele walasema Abiyudi, Abiyudi walasema Eliyakimu nendi Eliyakimu walasema Asolo,
28010e0051	Asolo walasema Sadoki, nendi Sadoki walasema Akimu, nendi Akimu walasema Eliyudi,
28010f005a	Nendi Eliyudi walasema Eliyasala, nendi Eliyasala walasema Matani, Matani walasema Yakobo,
2801100071	Nendi Yakobo walasema Yosefe ibendi Maliya, uyu Maliya e walasema Yesu lakwiwangeti Klistu Mupulushi Walaiwa usa.
2801110152	Neco, kufuma pali Abulahamu kushika pali Mwami Dafeti, palikuba misemano likumi ne ina, kayi kufuma pali Mwami Dafeti kushika pacindi bana ba Isilayeli mpobalamantwa busha kuya ku Babulo, napo palikuba misemano likumi ne ina, kayi kufuma pacindi ca kumantwa busha ku Babulo kushika pacindi ca Klistu, napo palikuba misemano likumi ne ina.
28011200d7	Lino kusemwa kwa Yesu Klistu kwalenshika munshila iyi. Pacindi Maliya banyina Yesu mpobalikuba bamamikilwa kuli Yosefe. Nomba kabatana baya kumalili, Maliya walacanika ne libunda kupitila mu ngofu ya Mushimu Uswepa.
2801130084	Yosefe walikuba muntu walulama, nkalayanda kumusebanya pantangalala, walayeya kupwisha bubambo bwa cikwati kwakubula kwishiba bantu.
28011400c5	Kaciyeya cakwinsa mungelo wa Mwami Lesa walamubonekela muciloto ne kumwambileti, “Yosefe mwanendi Dafeti kotatina kumumanta Maliya kuba mukashobe, ili libunda ndyakute ni ngofu ya Mushimu Uswepa.
2801150077	Nakatumbuke mwana mutuloba uyo ngoshi mukatumbe lina eti Yesu, pakwinga nakapulushe bantu bakendi ku bwipishi bwabo.”
280116004c	Ibi byalenshika kwalikuba kukwanilisha ncalamba Mwami kumushinshimi kwambeti
280117007e	“Mulindu nakabe ne libunda ne kutumbuka mwana mutuloba uyo eti akakwiweti Emanuele, uku ekwambeti ‘Lesa uli nenjafwe’”
2801180065	Yosefe mpwalapunduka walensa ncalamwambila mungelo wa Mwami Lesa, walamumanta Maliya kuba mukashendi.
2801190079	Nomba nikukabeco uliya kuya nendi kumalili sobwe mpaka panyuma pakutumbuka mwana mutuloba. Yosefe walamupa Lina eti Yesu.
28020100c2	Yesu walasemenwa mu munshi wa Betelehemu mucimpansha ca Yudeya pacindi Helode mpwalikuba mwami mu cishico. Ku Yelusalemu kwalesa bantu baiya shakwenda kwa nyenyenshi balafumina kucishi ca kucwe.
28020200d4	Mpobalashika ku Yelusalemu balikabepusheti “Inga mwana ngotwanyumfweti eshakabe Mwami wa Bayuda wasemenwa kupeyo? Afwe twalubona lunyenyenshi lwatuleshanga nkwabele kalupula kucwe, neco tulesa kumukambilila.”
2802030059	Mwami Helode ne bantu bangi balikwikala mu Yelusalemu mpobalanyufweco, balapenga mumyoyo.
28020400af	Neco, Helode walabunganya mwabwangu bwangu, beshimilumbo bamakulene ne beshikwiyisha Milawo ya Mose ne kubepusheti, “Anu Mupulushi Walaiwa ne Lesa nakasemenwe kupeyo ayi?”
280205007d	Balo balambeti, “Nakasemenwe mumunshi wa Betelehemu wa kucishi ca Yudeya, pakwinga tucinsheti Mabala a Lesa alambangeti,”
28020600bd	“Obe Betelehemu wa mucishi ca Yudeya, ntobe munshi ung'ana sobwe pakati pa minshi naimbi ya Bayuda. Pakwinga mutangunishi eshakembele Baisilayeli bantu ba Lesa nakakafumine kuli njobe.”
280207008c	Mpwalanyumfweco Helode, walabakwila pambali bantu abo kwakubula bantu nabambi kwinshiba, ne kubepushisha cindi ncobalabona lunyenyenshi ulo.
28020800c3	Neco Helode walabambileti, “Kamuyani ku Betelehemu mwenga mu mulangaule cenacena mwana uyo, mwakamucana, mukese kuno mukanjishibishe kumusena nkwabele, kwambeti nenjame nkenga kumukambilila.”
280209009d	Panyuma pakwambilwa maswi alico ne mwami, balanyamuka. Lunyenyenshi lusa ndobalabona kucwe, lwalabatangunina ne kuya kwimana mwilu pamusena palikuba mwanoyo.
28020a002f	Mpobalabona lunyenyenshi lusa balakondwa kwine.
28020b00c9	Popelapo balengila mu ng'anda, balabona mwanoyo kali ne Maliya banyina, balasuntama ne kumukambilila. Balasungulula bifunta ne kupulisha bipo bya golide, lubani ne mafuta anunkila a mule ne kupa mwana.
28020c00ab	Nomba Lesa walabacenjesha aba bantu bayiya kwenda kwa nyenyenshi muciloto kwambeti kabatabwelela kuli Helode. Neco mpobali kubwelela ku cishi cabo, balapitila nshila imbi.
28020d00fe	Mpobalafumako, mungelo wa Mwami walabonekela kuli Yosefe muciloto, ne kumwambileti, “Nyamuka, manta mwana ne banyina, ufwambile ku Injipto, uye wikale kopeloko mpaka cindi ncoti nkakwambile, pakwinga Helode nalangaulenga mwana uyu kwambeti amushine.”
28020e0050	Popelapo Yosefe walanyamuka mashiku ne kumanta mwana ne banyina kuya ku Injipto.
