0100000008	Ebandeli
010101002e	Na ebandeli, Nzambe akelaki Likolo mpe mokili.
010102008b	Mokili ezalaki na lolenge te mpe ezalaki pamba. Molili ezalaki na likolo ya mozindo; mpe Molimo ya Nzambe azalaki kopepa na likolo ya mayi.
010103003e	Mpe Nzambe alobaki: «Tika ete pole ezala!» Mpe pole ezalaki.
010104003f	Nzambe amonaki ete pole ezali malamu, akabolaki pole na molili.
0101050078	Nzambe abengaki pole «moyi,» mpe abengaki molili «butu.» Pokwa ezalaki mpe tongo ezalaki. Yango ezalaki mokolo moko.
0101060053	Bongo Nzambe alobaki: «Tika ete etando ezala kati na mayi mpo na kokabola yango!»
010107006f	Nzambe akelaki etando; akabolaki mayi oyo ezalaki na se ya etando na mayi ya likolo. Yango esalemaki mpe bongo.
0101080064	Nzambe abengaki etando «likolo.» Pokwa ezalaki, tongo mpe ezalaki. Yango ezalaki mokolo ya mibale.
0101090092	Bongo Nzambe alobaki: «Tika ete mayi oyo ezali na se ya likolo esangana esika moko mpo ete mabele ya kokawuka ebima!» Yango esalemaki mpe bongo.
01010a008d	Nzambe abengaki mabele ya kokawuka «mokili,» mpe abengaki mayi oyo esanganaki esika moko «ebale monene.» Nzambe amonaki ete ezali malamu.
01010b00b6	Nzambe alobaki: «Tika ete mokili ebimisa matiti, milona oyo ezali na nkona mpe banzete ya mbuma oyo ebotaka mbuma kolanda lolenge ya nzete moko na moko!» Yango esalemaki mpe bongo.
01010c00be	Mabele ebimisaki matiti, milona oyo ebotaka nkona kolanda lolenge ya molona moko na moko mpe banzete oyo ebotaka mbuma kolanda lolenge ya nzete moko na moko. Nzambe amonaki ete ezali malamu.
01010d0041	Pokwa ezalaki, tongo mpe ezalaki. Yango ezalaki mokolo ya misato.
01010e00b4	Bongo Nzambe alobaki: «Tika ete biloko oyo ebimisaka pole ezala na etando ya likolo mpo na kokabola moyi wuta na butu, mpo na kozala bilembo oyo ekolakisa bileko, mikolo mpe mibu,
01010f003a	mpe mpo na kongengisa mokili!» Yango esalemaki mpe bongo.
01011000ab	Nzambe akelaki biloko mibale ya minene oyo ebimisaka pole: oyo eleki monene, mpo na kongenga na moyi; mpe oyo ya moke, mpo na kongenga na butu. Mpe akelaki lisusu minzoto.
0101110041	Nzambe atiaki yango na etando ya likolo mpo ete engengisa mokili,
0101120059	engenga na moyi mpe na butu, mpe ekabola pole na molili. Nzambe amonaki ete ezali malamu.
0101130040	Pokwa ezalaki, tongo mpe ezalaki. Yango ezalaki mokolo ya minei.
010114007c	Bongo Nzambe alobaki: «Tika ete bikelamu ya bomoi etonda kati na mayi, mpe bandeke epumbwa na mokili na etando ya likolo!»
010115010f	Nzambe akelaki banyama minene ya mayi mpe bikelamu nyonso ya bomoi oyo etambolaka kati na mayi mpe etondi meke kati na mayi: ekelamu na ekelamu na lolenge na yango. Akelaki mpe bandeke nyonso ya mapapu: ndeke na ndeke na lolenge na yango. Nzambe amonaki ete ezali malamu.
010116008b	Nzambe apambolaki yango mpe alobaki: «Bobotana, bokoma ebele, botondisa mayi ya bibale, mpe tika ete bandeke ekoma ebele kati na mokili.»
0101170041	Pokwa ezalaki, tongo mpe ezalaki. Yango ezalaki mokolo ya mitano.
01011800cf	Bongo Nzambe alobaki: «Tika ete mokili ebimisa bikelamu ya bomoi kolanda lolenge na yango: bibwele, bikelamu oyo etambolaka na libumu, banyama ya mike-mike mpe banyama ya zamba!» Yango esalemaki mpe bongo.
0101190084	Nzambe akelaki banyama ya zamba kolanda lolenge na yango: bibwele mpe bikelamu nyonso ya mike-mike. Nzambe amonaki ete ezali malamu.
01011a00f7	Bongo Nzambe alobaki: «Tika ete tosala bato na elilingi na biso, na lolenge oyo biso tozali, mpo ete bakonza bambisi ya ebale, bandeke ya likolo, bibwele kati na mokili mobimba, bikelamu nyonso oyo etambolaka na libumu mpe banyama ya mike-mike!»
01011b006b	Nzambe akelaki bato na elilingi na Ye, akelaki bango na elilingi ya Nzambe; akelaki bango mobali mpe mwasi.
01011c00e0	Nzambe apambolaki bango mpe alobaki na bango: «Bobotana, bokoma ebele, botondisa mokili mpe bobongola yango. Bokonza bambisi ya bibale, bandeke ya likolo, bikelamu oyo etambolaka na libumu mpe banyama nyonso ya mike-mike.»
01011d00a2	Bongo Nzambe alobaki: «Tala, kati na mokili mobimba, napesi bino milona oyo ezali na nkona mpe banzete nyonso oyo ebotaka mbuma. Yango nde ekozala bilei na bino.
01011e00ee	Napesi matiti nyonso ya mobesu lokola bilei epai ya banyama nyonso ya mokili, epai ya bandeke nyonso ya likolo, epai ya bikelamu nyonso oyo etambolaka na libumu, mpe epai ya bikelamu nyonso oyo ezali na bomoi.» Yango esalemaki mpe bongo.
01011f008f	Nzambe atalaki biloko nyonso oyo akelaki mpe amonaki ete ezali malamu koleka. Pokwa ezalaki, tongo mpe ezalaki. Yango ezalaki mokolo ya motoba.
010201005e	Ezalaki bongo nde likolo mpe mokili ekelamaki elongo na biloko nyonso oyo ezali kati na yango.
010202007c	Na mokolo ya sambo, Nzambe asilisaki mosala oyo asalaki. Boye, na mokolo ya sambo, akataki mosala nyonso oyo azalaki kosala.
0102030084	Nzambe apambolaki mokolo ya sambo, abulisaki yango, pamba te na mokolo yango nde akataki mosala nyonso ya kokela oyo azalaki kosala.
010204008c	Tala ndenge likolo mpe mokili elongo na biloko oyo ezali kati na yango ezalaki tango ekelamaki. Tango Yawe Nzambe akelaki mokili mpe likolo,
01020500c9	ata nzete moko te ya elanga ezalaki, mpe ata molona moko te ya elanga etikalaki kobimisa moto, pamba te Yawe Nzambe anokisaki nanu mvula te na mokili, mpe moto azalaki te mpo na kolona yango na mabele.
0102060055	Kasi mayi ezalaki kobima wuta na se mpe ezalaki kopanzana na etando nyonso ya mokili.
0102070084	Yawe Nzambe asalaki moto wuta na putulu ya mabele, afulaki pema ya bomoi na madusu ya zolo na ye; mpe moto akomaki ekelamu ya bomoi.
0102080068	Yawe Nzambe alonaki elanga moko kati na Edeni, na ngambo ya este. Atiaki moto oyo akelaki kati na yango.
01020900d9	Yawe Nzambe abimisaki wuta na mabele banzete ya lolenge nyonso oyo ezalaki kitoko mpo na kotala mpe elengi mpo na kolia. Atiaki mpe nzete ya bomoi na kati-kati ya elanga; lisusu atiaki nzete ya koyeba malamu mpe mabe.
01020a0075	Ebale moko ezalaki kobima na Edeni mpe ezalaki kosopa mayi na elanga. Mayi ya ebale yango ekabwanaki na biteni minei.
01020b0078	Eteni ya liboso, kombo na yango «Pishoni.» Yango ezingeli mokili mobimba ya Avila oyo mabele na yango ezalaki na wolo.
01020c0077	Wolo ya mokili yango ezalaki kitoko. Ezalaki lisusu na molona ya malasi mpe na mabanga ya onikisi kati na mokili yango.
01020d0053	Eteni ya mibale, kombo na yango «Giyoni.» Yango ezingeli mokili mobimba ya Kushi.
01020e0079	Eteni ya misato, kombo na yango «Tigre.» Yango elekana na este ya Asiri. Mpe eteni ya minei, kombo na yango «Efrate.»
01020f0065	Yawe Nzambe azwaki moto mpe atiaki ye kati na elanga ya Edeni mpo na kolona yango mpe kobatela yango.
0102100052	Mpe Yawe Nzambe apesaki mitindo oyo na moto: «Okoki kolia mbuma nyonso ya elanga,
010211006a	kasi okolia te mbuma ya nzete ya koyeba malamu mpe mabe; pamba te mokolo oyo okolia yango, okokufa solo.»
0102120075	Yawe Nzambe alobaki: «Ezali malamu te ete mobali azala ye moko; nakosalela ye mosungi oyo azali ndenge moko na ye.»
01021300ed	Yawe Nzambe asalaki, wuta na mabele, banyama nyonso ya zamba mpe bandeke nyonso ya likolo. Amemaki yango epai ya mobali mpo na kotala ndenge akopesa yango kombo, mpo ete ekelamu nyonso ya bomoi ebengama na kombo oyo mobali akopesa yango.
01021400af	Yango wana, mobali apesaki bakombo na bibwele nyonso, na bandeke nyonso ya likolo mpe na banyama nyonso ya zamba. Kasi amonaki te mosungi oyo akokaki kozala ndenge moko na ye.
01021500ae	Na yango, Yawe Nzambe alalisaki mobali pongi ya makasi. Mpe wana mobali azalaki kolala, Yawe Nzambe azwaki mokuwa moko na mopanzi ya mobali mpe azipaki mosuni na esika yango.
0102160062	Yawe Nzambe asalaki mwasi na mokuwa oyo azwaki na mopanzi ya mobali mpe amemaki ye epai ya mobali.
0102170098	Boye, mobali alobaki: «Tala na mbala oyo, oyo azali mokuwa ya mikuwa na ngai, mosuni ya mosuni na ngai. Bakobenga ye mwasi, pamba te awuti na mobali.»
0102180069	Yango wana, mobali akotika tata na ye mpe mama na ye, akosangana na mwasi na ye, mpe bakokoma nzoto moko.
0102190046	Mobali mpe mwasi na ye bazalaki bolumbu mpe bazalaki koyokana soni te.
01030100c8	Nzokande, kati na banyama nyonso ya zamba oyo Yawe Nzambe akelaki, nyoka nde elekaki na mayele mabe. Alobaki na mwasi: — Nzambe alobaki na bino solo ete bolia mbuma ata moko te ya banzete ya elanga?
0103020049	Mwasi azongisaki epai ya nyoka: — Toliaka bambuma ya banzete ya elanga.
01030300a2	Kasi na oyo etali mbuma ya nzete oyo ezali na kati-kati ya elanga, Nzambe alobaki: «Bosengeli te kolia yango, mpe bosengeli te kosimba yango; noki te bokokufa.»
0103040034	Nyoka alobaki na mwasi: — Solo penza, bokokufa te.
0103050082	Pamba te Nzambe ayebi malamu ete mokolo oyo bokolia yango, miso na bino ekofungwama mpe bokokoma lokola Ye: koyeba malamu na mabe.
01030600f7	Mwasi amonaki ete mbuma ya nzete ezali elengi mpo na kolia, kitoko mpo na kotala mpe malamu mpo na kofungola mayele. Boye azwaki mbuma mpe aliaki yango. Apesaki yango mpe na mobali na ye, oyo azalaki elongo na ye; bongo ye mpe mobali aliaki yango.
010307008a	Mbala moko, miso na bango mibale efungwamaki, mpe basosolaki ete bazali bolumbu. Boye, basangisaki makasa ya nzete ya figi mpe bamizipaki.
01030800a0	Na pokwa, bayokaki makelele ya matambe ya Yawe Nzambe kotambola kati na elanga. Boye, mobali mpe mwasi babombamaki kati na banzete ya elanga mpo na kokima Yawe.
0103090040	Kasi Yawe Nzambe abengaki mobali mpe atunaki ye: — Ozali wapi?
01030a0083	Azongisaki: — Nayoki makelele ya matambe na Yo kotambola kati na elanga mpe nabangi mpo ete nazali bolumbu; yango wana nabombami.
01030b006d	Nzambe alobaki: — Ndenge nini oyebi ete ozali bolumbu? Boni, oliaki mbuma ya nzete oyo napekisaki yo kolia?
01030c0079	Adamu azongisaki: — Ezali mwasi oyo opesaki ngai lokola mosungi nde apesaki ngai mbuma ya nzete yango, mpe nalie yango.
01030d007e	Yawe Nzambe alobaki na mwasi: — Mpo nini osali bongo? Mwasi azongisaki: — Ezali nyoka nde akosaki ngai, mpe naliaki yango.
01030e00b8	Boye Yawe Nzambe alobaki na nyoka: «Lokola osali bongo, olakelami mabe kati na bibwele mpe banyama nyonso ya zamba. Okotambola na libumu mpe okobanda kolia putulu bomoi na yo mobimba.
01030f009f	Nakotia koyinana kati na yo mpe mwasi, mpe kati na bakitani na yo mpe bakitani na ye. Bakitani ya mwasi bakonyata moto na yo, mpe yo okoswa bango na litindi.»
0103100097	Nzambe alobaki na mwasi: «Nakobakisa pasi na zemi na yo; okobota na pasi. Posa na yo ekomema yo epai ya mobali na yo, kasi ye akozala mokonzi na yo.»
01031100ec	Yawe Nzambe alobaki na Adamu: «Lokola oyokelaki mwasi na yo mpe oliaki mbuma ya nzete oyo, na tina na yango, napesaki yo mobeko oyo: ‹Kolia yango te,› mabele elakelami mabe likolo na yo. Bomoi na yo mobimba, okolia na motoki na yo.
0103120047	Mabele ekobotela yo nzube mpe nzete ya sende. Okolia matiti ya bilanga.
0103130086	Okolia lipa na yo na motoki ya elongi na yo kino okozonga na mabele epai wapi owutaki, pamba te ozali putulu mpe okozonga na putulu.»
0103140057	Mobali apesaki mwasi na ye kombo «Eva,» pamba te azali mama ya bato nyonso na mokili.
010315005f	Yawe Nzambe asalelaki Adamu mpe mwasi na ye bilamba ya poso ya nyama mpe alatisaki bango yango.
