0100000009	創世記
0101010021	太初，上帝創造了天地。
0101020057	那時，大地空虛混沌，黑暗籠罩著深淵，上帝的靈運行在水面上。
010103002d	上帝說：「要有光！」就有了光。
0101040033	上帝看光是好的，就把光和黑暗分開。
0101050057	上帝稱光為晝，稱黑暗為夜。晚上過去，早晨到來，這是第一日。
010106003f	上帝說：「水與水之間要有穹蒼，把水分開。」
0101070057	果然如此。上帝造了穹蒼，將穹蒼之下的水和穹蒼之上的水分開。
010108004b	上帝稱穹蒼為天空。晚上過去，早晨到來，這是第二日。
010109005a	上帝說：「天空下面的水要聚在一處，使乾地露出來。」果然如此。
01010a0054	上帝稱乾地為陸地，稱匯聚的水為海洋。上帝看了，覺得美好。
01010b0081	上帝說：「陸地要長出植物——各類結種子的菜蔬和結果子的樹木，果子內都有籽。」果然如此，
01010c007e	陸地長出了植物——各類結種子的菜蔬和結果子的樹木，果子內都有籽。上帝看了，覺得美好。
01010d0030	晚上過去，早晨到來，這是第三日。
01010e005d	上帝說：「天空要有光體，以區分晝夜，作記號，定節令，計算年日，
01010f0033	在天空發光，普照大地。」果然如此。
010110004e	上帝造了兩個大光體，大的管晝，小的管夜，又造了星辰。
0101110045	上帝把這些光體擺列在天空，讓它們發光普照大地，
0101120042	管理晝夜，分開光和黑暗。上帝看了，覺得美好。
0101130030	晚上過去，早晨到來，這是第四日。
010114004b	上帝說：「水中要充滿各種動物，空中要有禽鳥飛翔。」
0101150060	上帝就創造了海中的大魚等各類水族和各類禽鳥。上帝看了，覺得美好。
0101160084	上帝賜福給這一切生物，說：「水族要多多地生養繁衍，充滿海洋，禽鳥也要在地上多多地繁衍。」
0101170030	晚上過去，早晨到來，這是第五日。
0101180066	上帝說：「大地要繁衍各類動物——各類的牲畜、爬蟲和野獸。」果然如此。
0101190054	上帝造了地上的各類野獸、牲畜和爬蟲。上帝看了，覺得美好。
01011a009f	上帝說：「我們要照著我們的形像，按著我們的樣式造人，讓他們管理海裡的魚、空中的鳥和地上的牲畜及一切爬蟲。」
01011b005a	上帝就照著自己的形像造了人，祂照著自己的形像造了男人和女人。
01011c00a2	上帝賜福給他們，對他們說：「你們要生養眾多，遍滿地面，治理大地，管理海裡的魚、空中的鳥以及地上的各種動物。」
01011d0078	上帝說：「看啊，我把地上所有結種子的穀蔬和所有樹上有籽的果子，都賜給你們作食物。
01011e0087	我把綠色植物賜給所有地上的走獸、空中的飛鳥，及地上的爬蟲等有氣息的動物作食物。」果然如此。
01011f0066	上帝看了祂所造的一切，覺得非常美好。晚上過去，早晨到來，這是第六日。
010201001b	天地萬物都造好了。
0102020054	第七日，上帝完成了祂的創造之工，就在第七日歇了一切的工。
0102030066	上帝賜福給第七日，將其定為聖日，因為祂在這一日歇了祂一切的創造之工。
010204004c	這是有關創造天地的記載。 耶和華上帝創造天地的時候，
010205007b	地上還沒有草木，也沒有長出菜蔬，因為耶和華上帝還沒有降雨在地上，土地也沒有人耕作，
010206002a	但有水從地裡湧出，澆灌大地。
0102070072	耶和華上帝用地上的塵土造人，把生命的氣息吹進他的鼻孔裡，他就成了有生命的人。
010208005d	耶和華上帝在東方的伊甸開闢了一個園子，把祂所造的人安置在裡面。
010209008a	耶和華上帝使地裡長出各種樹木，它們既好看又有好吃的果子。在園子的中間有生命樹和分別善惡的樹。
01020a0051	有一條河從伊甸流出來灌溉那園子，又從那裡分成四條河流。
01020b004e	第一條支流叫比遜河，它環繞著哈腓拉全境，那裡有金子，
01020c0033	且是上好的金子，還有珍珠和紅瑪瑙。
01020d0039	第二條支流叫基訓河，它環繞著古實全境。
01020e0063	第三條支流叫底格里斯河，它流經亞述的東邊。第四條支流叫幼發拉底河。
01020f005d	耶和華上帝把那人安置在伊甸的園子裡，讓他在那裡耕種、看管園子。
0102100054	耶和華上帝吩咐那人說：「你可以隨意吃園中各種樹上的果子，
0102110054	只是不可吃那棵分別善惡樹的果子，因為你吃的日子必定死。」
010212005d	耶和華上帝說：「那人獨自一人不好，我要為他造一個相配的幫手。」
01021300b7	耶和華上帝用塵土造了各種田野的走獸和空中的飛鳥，把牠們帶到那人跟前，看他怎麼叫牠們。他叫這些動物什麼，牠們的名字就是什麼。
0102140081	那人給所有的牲畜及空中的飛鳥和田野的走獸都起了名字。可是他找不到一個跟自己相配的幫手。
0102150072	耶和華上帝使那人沉睡，然後在他沉睡的時候從他身上取出一根肋骨，再把肉合起來。
010216004e	耶和華上帝用那根肋骨造了一個女人，把她帶到那人跟前。
010217007f	那人說： 「這才是我骨中的骨， 肉中的肉， 要稱她為女人， 因為她是從男人身上取出來的。」
0102180045	因此，人要離開父母，與妻子結合，二人成為一體。
0102190042	當時，他們夫婦二人都赤身露體，並不覺得羞恥。
01030100a5	在耶和華上帝所造的田野的各種動物中，蛇最狡猾。蛇對女人說：「上帝真的說過『你們不可吃園中任何樹上的果子』嗎？」
010302003c	女人回答說：「我們可以吃園中樹上的果子，
010303006c	只是上帝說過，『你們不可吃園子中間那棵樹的果子，也不可摸，免得死亡。』」
010304002d	蛇對女人說：「你們一定不會死！
0103050084	上帝那樣說是因為祂知道，你們吃了那樹的果子以後，眼睛就會打開，像上帝一樣懂得分辨善惡。」
010306009c	女人見那棵樹上的果子可口，悅人眼目，可使人有智慧，就摘下來吃了。她又把果子給跟她在一起的丈夫，他也吃了。
0103070069	二人的眼睛就打開了，發覺自己原來赤身露體，便編起無花果樹的葉子來遮體。
010308008d	天起涼風時，那人和他妻子聽見耶和華上帝在園中行走的聲音，就藏在園子的樹叢中，想躲避耶和華上帝。
0103090036	耶和華上帝呼喚那人說：「你在哪裡？」
01030a0066	那人說：「我在園中聽見你的聲音，就害怕得躲了起來，因為我赤身露體！」
01030b0072	耶和華上帝問：「誰告訴你，說你赤身露體？難道你吃了我吩咐你不可吃的果子嗎？」
01030c005a	那人說：「你賜給我作伴的女人把那樹上的果子給我，我就吃了。」
01030d0072	耶和華上帝對女人說：「你這是做的什麼事？」女人說：「是蛇誘騙我，我才吃的。」
01030e009d	耶和華上帝對蛇說： 「你既然做了這事， 你要比一切牲畜和野獸受更重的咒詛， 你要用肚子爬行， 一生都要吃塵土。
01030f0090	我要使你和女人結仇， 你的後裔和女人的後裔也要彼此為仇， 女人的後裔必傷你的頭， 你必傷他的腳跟。」
01031000a3	耶和華上帝對女人說： 「我必大大加重你懷孕的痛苦， 你分娩時必受痛苦。 你必戀慕自己的丈夫， 你的丈夫必管轄你。」
01031100d4	耶和華上帝又對亞當說： 「因為你聽從妻子的話， 吃了我吩咐你不可吃的那樹上的果子， 地必因你而受咒詛。 你必終生艱辛勞苦， 才能吃到地裡出產的食物。
0103120049	地必給你長出荊棘和蒺藜， 你要吃田間長出來的菜蔬。
0103130087	你必汗流滿面，才有飯吃， 一直到你歸回土地。 因為那是你的本源。 你本是塵土，也必歸回塵土。」
0103140042	亞當給他的妻子取名叫夏娃，因為她是眾生之母。
0103150033	耶和華上帝做了皮衣給他們夫婦穿上。
010316009f	耶和華上帝說：「看啊，那人已經與我們相似，能分辨善惡。現在，恐怕他會伸手去摘生命樹的果子吃，就永遠活著。」
0103170066	因此，耶和華上帝就把亞當趕出伊甸園，讓他去開墾土地——那是他的本源。
010318007b	祂趕走了亞當以後，在伊甸園東邊安排基路伯天使和一把旋轉的火劍，守住通往生命樹的路。
0104010075	亞當和他妻子夏娃同房，夏娃便懷孕，生了該隱。她說：「耶和華讓我得了一個男孩。」
010402005d	後來，夏娃又生了該隱的弟弟亞伯。亞伯做了牧羊人，該隱做了農夫。
0104030045	過了些日子，該隱把地裡的出產當祭物獻給耶和華，
0104040072	亞伯也把羊群中頭生的羊及其最肥美的部分獻給耶和華。耶和華悅納亞伯和他的祭物，
010405004b	卻不悅納該隱和他的祭物。該隱便非常惱火，面色陰沉。
0104060045	耶和華問該隱：「你為什麼惱火？為什麼面色陰沉？
0104070090	如果你做得對，難道不會蒙悅納嗎？如果你做得不對，罪就蹲伏在你的門口，要控制你，但你必須制伏罪。」
0104080078	該隱對弟弟亞伯說：「我們去田間吧！」他們在田間的時候，該隱動手打亞伯，把他殺了。
0104090084	後來，耶和華問該隱：「你弟弟亞伯在哪裡？」他說：「我不知道！難道我是我弟弟的看護人嗎？」
01040a004e	耶和華說：「你做了什麼事？你弟弟的血從地裡向我哭訴。
01040b0054	地張開口從你手上接受了你弟弟的血，現在你在地上必受咒詛。
01040c004b	你種地，地卻不會再為你效力，你必在地上四處漂泊。」
01040d003f	該隱對耶和華說：「這懲罰太重！我承受不了。
01040e007e	今天你把我從此地趕出去，使我不能再見你的面。我在地上四處漂泊，見到我的人都會殺我。」
01040f00ab	耶和華對他說：「不會的，因為凡殺你的，必遭受七倍的報應。」於是，耶和華在該隱身上留下一個記號，免得見到他的人殺他。
010410003f	該隱離開耶和華，來到伊甸東邊的挪得住下來。
0104110087	該隱和妻子同房，他的妻子就懷孕，生了以諾。該隱建了一座城，用他兒子的名字給這城取名叫以諾。
0104120060	以諾生以拿，以拿生米戶雅利，米戶雅利生瑪土撒利，瑪土撒利生拉麥。
0104130042	拉麥娶了兩個妻子，一個叫亞大，另一個叫洗拉。
0104140036	亞大生了雅八，雅八是遊牧民族的祖先，
010415003f	雅八的弟弟叫猶八，他是彈琴吹笛之人的鼻祖。
010416005f	洗拉生了土八·該隱，他是打造各種銅鐵器具的匠人，他的妹妹叫拿瑪。
01041700b8	拉麥對他的兩個妻子說： 「亞大，洗拉，你們聽我的聲音； 拉麥的妻子啊，側耳聽我的話， 有人傷我，我殺了他， 青年打我，我宰了他。
0104180052	殺該隱的遭受七倍的報應， 殺拉麥的遭受七十七倍的報應。」
01041900a8	亞當又與妻子夏娃同房，夏娃生了一個兒子，取名叫塞特，因為她說：「上帝賜我另一個兒子來代替亞伯，因為該隱殺了他。」
01041a0063	塞特生了一個兒子，給他取名叫以挪士。那時候，人開始求告耶和華的名。
0105010061	以下是關於亞當後代的記載。 上帝造人的時候，是照祂自己的樣式造的。
0105020060	祂造了男人和女人，又賜福給他們，並在造他們的那日稱他們為「人」。
0105030063	亞當一百三十歲時生了一子，樣式和形像與自己相似，就給他取名叫塞特。
010504003f	亞當生了塞特以後，又活了八百年，生兒育女，
0105050024	共活了九百三十歲才去世。
