2800000005	Matej
2801010064	Akava si poreklo katar o Isuso Hristo. Vo sas potomko e caresko Davidesko thaj e Avraamesko potomko.
2801020078	E Avraamešće bijandilo o Isaak. E Isaakošće bijandilo o Jakov. E Jakovešće bijandilo o Juda thaj e phrala lešće.
2801030074	E Judašće e Tamara bijandas e Farese thaj e Zare. E Faresošće bijandilo o Esrom. E Esromešće bijandilo o Aram.
280104006a	E Aramešće bijandilo o Aminadav. E Aminadavešće bijandilo o Naason. E Naasonešće bijandilo o Salmon.
280105006f	E Salmonešće e Rahava bijandas e Voozo. E Voozešće e Ruta bijandas e Ovido. E Ovidešće bijandilo o Jesej.
2801060064	E Jeseješće bijandilo o caro David. E Davidešće e Urijašći bivšo romnji bijandas e Solomones.
2801070064	E Solomonešće bijandilo o Rovoam. E Rovoamešće bijandilo o Avija. E Aviješće bijandilo o Asaf.
2801080065	E Asafešće bijandilo o Josafat. E Josafatešće bijandilo o Joram. E Joramešće bijandilo o Ozija.
2801090063	E Ozijašće bijandilo o Joatam. E Joatamešće bijandilo o Ahaz. E Ahazešće bijandilo o Ezekija.
28010a0067	E Ezekijašće bijandilo o Manasija. E Manasijašće bijandilo o Amos. E Amosešće bijandilo o Josija.
28010b0081	E Josijašće bijandilo o Jehonija thaj lešće phrala ande vrjama kana o izraelsko them sas inđardo ando vavilonsko progonstvo.
28010c0072	Nakon so sas inđarde ando Vavilon, e Jehonijašće bijandilo o Salatiilo. E Salatiilešće bijandilo o Zorovavel.
28010d006b	E Zorovavelešće bijandilo o Aviud. E Aviudašće bijandilo o Elijakim. E Elijakimešće bijandilo o Azor.
28010e0060	E Azorešće bijandilo o Sadok. E Sadokošće bijandilo o Ahim. E Ahimešće bijandilo o Elijud.
28010f0067	E Elijudešće bijandilo o Eleazar. E Eleazarešće bijandilo o Matan. E Matanešće bijandilo o Jakov.
280110005e	E Jakovešće bijandilo o Josif, o rom e Marijako, savi bijanda e Isuse save akhardine Hristo.
28011100f3	Akava si, dakle, sa ukupno dešuštar naraštaja katar o Avram dži ko caro David, dešutrito štar naraštaja katar o caro David dži ko progonstvo ando Vavilon, thaj dešutrito štar naraštaja katar o progonstvo ando Vavilon dži ko Hristo.
28011200b7	Ake sar bijandilo o Isuso Hristo: lešći dej e Marija, sas mangli palo Josif. Ali majsigo nego so line pe, dok sas još čhej, sikadilo kaj e Marija ačhili phari katar o Sveto Duho.
280113006e	Sar lako rom o Josif sas pravedno manuš thaj či kamlas javno te ladžarel lat, kamlas potajno te mućel lat.
2801140100	Sar gindilas godova, lija les e lindri thaj ando suno sikadilo lešće o anđelo e Gospodesko thaj phendas lešće: “Josife, e Davidešće čhaveja, na dara te les e Marija pale ćiri romnji! Kaj e čhavre saves inđarel ande peste si katar o Sveto Duho.
280115005e	Voj bijanela čhave, a tu deja les alav Isus, kaj vo spasila piro them katar lenđe bezeha.”
280116004c	A sa godova dogodisajlo te pherdol okova so o Gospod phendas kroz o proroko:
2801170073	“Ake e čhej ačhela khamni! Thaj bijanela čhaves savo akhardola Emanuel” (so značil: “O Del si amenca”).
2801180078	Kana o Josif džungadilo, ćerda sar zapovedisardas lešće o anđelo e Gospodesko thaj lijas e Marija pale piri romnji.
280119005f	Ali či suta lasa dok voj či bijandas čhaves. A kana o čhavro bijandilo, dija les alav Isus.
28020100ad	O Isus bijandilo ando gav Vitlejem savo sas ande judejsko regija, ande vrjama kana vladilas o caro Irod. Ande godoja vrjama aviline e mudracurja katar o Istok ando Jerusalim
28020200ac	thaj počnisardine te raspituin pe: “Kaj si godova o nevo bijando caro e Židovengo? Dikhlam lešći čerain sar inkljel po istok thaj avilam te das koča angle leste.”
2802030059	Kana godova ašundas o caro Irod zurale uznemirisajlo sago vi o sa o them ando Jerusalim.
2802040095	Askal akhardas sa e židovske šorvale rašajen thaj e učiteljen e Mojsiješće zakonestar te phučel lendar: “Kaj o Hristo trubul te bijandol?”
2802050054	A von phendine lešće: “Ando Vitlejem ande Judeja, kaj gajda o proroko ramosarda:
28020600c4	‘A tu Vitlejeme, ande judejsko phuv, nipošto naj san majcikno katar aver e judejske gava, kaj andar tute inkljela o vladari savo vodila mungro theme o Izraele sago o pastiri pire bakhren.’”
280207005c	Askal o Irod čordanes akhardas peste e mudracen te phučel lendar kana inkljisti e čerain.
28020800c8	Askal phendas: “Džan thaj lačhe phučen pale godova čhavro thaj kana araćhena les, bolden tumen thaj javin manđe te šaj džav vi me te pokloni man lešće,” thaj bičhalda len ando Vitlejem.
28020900a4	Kana ašundine so phendas lenđe o caro Irod thaj đeletar. A e čerain savja dikhline sar inkljel džalas angle lende dok či ačhili anglo than kaj sas o čhavro.
28020a0037	Kana dikhline e čerain kaj ačhili, zurale raduisajle.
28020b00e0	Dine ando ćher thaj dikhline e čhavre lešće dejava e Marijasa thaj peline pe pire koča thaj poklonisajle lešće. Pale godova putardine pire kutijice thaj daruisardine les e sunakajesa, tamnjanosa thaj e mirisno uljesa.
28020c0076	Pale godova o Del upozorisarda len ando suno te či bolden pe ko Irod, nego boldine pe ande pešći phuv aver dromesa.
28020d00f3	A kana von đeletar, o anđelo e Gospodesko javisajlo e Josifešće ando suno thaj phendas lešće: “Ušti, le e čhavre thaj lešće deja thaj naš ando Egipat. Ačh okote dok či phenav tuće, kaj o Irod rodela e čhavre te mudarel les.”
28020e0063	O Josif uštilo, lija e čhavre thaj lešće deja thaj još isto rjat uputisajlo lenca ando Egipat.
28020f0092	Thaj ačhilo okote dok o Irod či mulo, te pherdol so o Gospod phendas prekal o proroko savo phenel: “Andar o Egipat akhardem mungre čhaves.”
28021000fa	Kana o Irod dikhla kaj e mudracurja nadmudrisardine les, zurale holjajlo thaj naredisarda te ando Vitlejem thaj sasti okolina mudaren sa e muške čhavren dži ke duj brš, prema e vrjama savi saznaisardas katar e mudracurja kana inkljisti e čerain.
2802110040	Askal pherdilo okova so o Del phendas prekal o proroko Jeremija:
2802120092	“Ando gav e Rama ašundilo o glaso, o roipe thaj o jauk. Godova e Rahilja rovel pale pire čhavra thaj našti utešil pes kaj majbut naj len.”
2802130056	Kana mulo o Irod, o anđelo e Gospodesko javisajlo ando suno e Josifešće ando Egipat
28021400a5	thaj phendas lešće: “Ušti, le e čhavre thaj lešće deja thaj bolde tut lenca palpale ande izraelsko phuv, kaj okola save line te mudaren e čhavres muline.”
2802150055	O Josif uštilo, lija e čhavre thaj lešće deja, thaj bolda pe ande izraelsko phuv.
28021600a2	Ali kana ašundas kaj e Judejava vladil o Arhelaj umesto lesko dad, darajlo te džal okote, ali o Del upozorisarda les ando suno te džal ande galilejaći regija.
280217007d	Thaj nastanisajlo ando gav Nazaret. Godolesa pherdilo okova so phendine e prorokurja palo Mesija kaj akhardola Nazarećanino.
280301005a	Ande godoja vrjama o Jovano savo bolelas počnisarda te propovedil ande judejsko pustinja.
2803020075	Thaj phenelas: “Pokajin tumen pale tumare bezeha thaj obratin tumen e Devlešće kaj o Carstvo nebesko si paše!”
28030300ab	O proroko Isaija phenelas palo Jovano kana prorokuisardas: “Vo si o glaso savo čhol muj ande pustinja: ‘Pripremin o drom palo Gospod, vorton e staze pale leste!’”
28030400a6	A o Jovano inđarelas pe peste e drze save sas ćerde katar e kamilaće bal, a oko maškar sas les morćhako pojas. O habe lesko sas e skakavcurja thaj o divljo medo.
2803050067	Leste avelas o but o them andar o Jerusalim, andar e Judeja thaj andar sa e krajurja oko e reka Jordan.
2803060043	Ispovedinas lešće pire bezeha, a vo bolelas len ande reka Jordan.
28030700cf	A kana o Jovano dikhla e but e farisejen thaj e sadukejen kaj aven leste te bolel len, phendas lenđe: “Tumen e sapešće čhavra! Koli upozorisarda tumen te našen katar e Devlešći bari holji savi avel?
280308005a	Sikaven tumare trajosa thaj tumare plodonenca kaj pokajisardine tumen katar tumare bezaha.
28030900bc	Thaj na hohaven korkoro tumen kaj si tumenđe dosta te phenen: ‘Amen sam e Avramešće potomkurja’ kaj phenav tumenđe: o Del šaj vi katar akala bara te vazdel čhavren e Avramešće.
28030a0097	O tover e Devlešće sudosko već si čhutino po koreno e kaštesko. Svako kaš savo či bijanel lačhe plodurja čhinela pe thaj čhudela pe ande jag.
28030b00ce	Me bolav tumen e pajesa, palo pokajanje katar tumare bezeha. Ali avel vareko posle mande ko si majmoćno mandar, kašće naj sem dostojno e sandale te inđarav. Vo bolela tumen e Sveto Duhosa thaj e jagasa.
28030c00a1	Vo si spremno te losarel o kućin e đivesko katar e pleva. O điv ćidela thaj spremila ande piri žitnica, a e pleva dela jag e jagasa savi našti mudardol.”
28030d0049	Askal avilo o Isus andar e Galileja pe reka Jordan te o Jovano bolel les.
28030e0078	A o Jovano či kamlas te bolel les thaj phenelas lešće: “Tu trubul man te boles, a tu aves mande te me bolav tut?”
28030f0084	A o Isus phendas lešće: “Muk akana, kaj agajda trubul amenđe te pheras e Devlešći pravedno volja.” Askal o Jovano bola les.
28031000ad	Pale godova kana sas o Isus boldo thaj čim inkljisto andar o paj. Thaj dik! O nebo putajlo thaj vo dikhla e Devlešće Duho sar fuljel sago golubo thaj mućel pes pe leste.
2803110062	Askal o glaso andar o nebo ašundilo: “Akava si mungro Čhavo, saves voliv. Vo si mungri bah.”
280401004a	Askal o Sveto Duho inđardas e Isuse ande pustinja te iskušil les o beng.
2804020053	O Isus postilas štarvardeš đesa thaj štarvardeš raća, a pale godova bokhajlo.
280403008a	Askal avilo leste o beng thaj iskušisarda les gajda kaj phendas lešće: “Ako san Čhavo e Devlesko, phen te akala bara aven mangre.”
280404009d	A o Isus phendas: “Ando Sveto lil ačhel ramome: ‘Či trajil o manuš samo katar o mangro, nego katar svako alav savo inkljel andar e Devlesko muj.’”
280405005a	Askal o beng inđarda e Isuse ando Sveto gav Jerusalim thaj čhuta les po vrho e Hramosko,
28040600de	thaj phendas lešće: “Ako san tu Čhavo e Devlesko, čhude tut katar tele. Kaj ando Sveto lil ramol: ‘Pire anđelenđe zapovedila pale tute’ thaj: ‘von pe vas inđarena tut te či pećes e pungresa ando bar.’”
280407005e	A o Isus phendas lešće: “Ramome si vi akava: ‘Na iskušisar e Gospode ćire Devle.’”
280408007b	Askal o beng inđarda les po vrho pe vuči gora, thaj sikadas lešće sa e carstvurja akale themešće thaj e slava lenđi.
280409005d	Thaj phendas lešće: “Sa akava dava tut ako peres pe koča angle mande thaj slavis man.”
28040a009f	Askal o Isus phendas lešće: “Džatar mandar, Sotono, kaj ando Sveto lil si ramome: ‘De koča samo anglo Gospod ćiro Del, thaj jedino les slavisar.’”
28040b0055	Askal o beng đelotar lestar, a e anđelurja odma aviline thaj služisardine lešće.
28040c005a	Kana o Isus ašundas kaj phangline e Jovano savo bolelas, bolda pe ande galilejsko regija.
