0100000008	Suencuek
0101010033	A cuekca vaengah Pathen loh vaan neh diklai a suen.
0101020084	Te vaengah diklai te a hinghong la om tih hoeng. Tuidung hman khaw a hmuep loh a dah. Te vaengah Pathen Mueihla tah tui hman ah lam.
0101030040	Tedae Pathen loh, “Vangnah om saeh,” a ti dongah vangnah om.
0101040071	Te vaengah Pathen loh vangnah te then tila a hmuh. Te dongah Pathen loh vangnah neh a hmuep te a laklo ah a phih.
0101050092	Te phoeiah Pathen loh vangnah te khothaih la a khue tih a hmuep te khoyin la a khue. Te vaengah hlaem neh mincang om tih khohnin lamhmacuek la om.
0101060064	Te phoeiah Pathen loh tui laklo ah bangyai om saeh lamtah tui neh tui laklo ah phih la om saeh a ti.
0101070084	Te dongah Pathen loh bangyai te a saii tih, bangyai hmui lamkah tui neh bangyai hman kah tui te a laklo ah aka phih la om tangloeng.
010108005e	Pathen loh bangyai te vaan la a khue. Te vaengah hlaem neh mincang om tih khohnin pabae la om.
010109008d	Te phoeiah Pathen loh vaan hmui kah tui rhoek te hmuen pakhat la tingtun uh saeh lamtah laiphuei tueng saeh,” a ti. Te dongah om tangloeng.
01010a007b	Pathen loh laiphuei te lan la a khue tih, tui rhoek a tungnah te tuitunli la a khue. Te dongah Pathen loh then tila a hmuh.
01010b00c8	Te phoeiah Pathen loh, “Diklai loh toian, baelhing, a muu aka om ham a thaih te amah hui la a thaih aka saii thing te poe sak saeh. Diklai ah a tii te om saeh,” a ti. Te dongah om tangloeng coeng.
01010c00b8	Te dongah amah hui la a tii a muu aka om toian, baelhing khaw, amah hui vanbangla amah ah a muu a thaih aka saii thing khaw diklai loh a poe sak. Te dongah Pathen loh then tila a hmuh.
01010d0039	Te vaengah hlaem neh mincang om tih a thum khohnin la om.
01010e00b4	Te phoeiah Pathen loh, “Khothaih neh khoyin te a laklo ah phih ham neh khoning ham khaw, khohnin ham khaw, kum tue ham khaw miknoek la om sak ham vaan bangyai ah vangnah om saeh.
01010f006b	Vaan bangyai ah khaw, diklai hman aka tue ham khaw, vangnah om saeh,” a ti. Te dongah om tangloeng coeng.
01011000a1	Te phoeiah Pathen loh vangnah a len panit te, khothaih kah khohung la vangnah a len pakhat neh khoyin kah khohung la vangnah a yit neh aisi rhoek te khaw a saii.
0101110066	Te phoeiah Pathen loh khothaih neh khoyin aka taemrhai khaw, vangnah neh a hmuep te aka phih ham khaw,
0101120062	Diklai hman aka tue ham khaw, vaan bangyai ah amih te a khueh vaengah Pathen loh then tila a hmuh.
0101130037	Te vaengah hlaem neh mincang om tih a li khohnin la om.
0101140090	Te phoeiah Pathen loh, “Rhulcai mulhing hinglu te tui loh luem puei saeh lamtah diklai hman boeih vaan bangyai hmai ah vaa ding saeh,” a ti.
01011500e3	Te dongah Pathen loh, tuihnam a len rhoek neh aka colh aka tat mulhing, hinglu boeih khaw, a suen. Te te amah hui la tui loh a luem sak tih phae aka khueh vaa cungkuem khaw amah hui la om. Te dongah Pathen loh then tila a hmuh.
010116009e	Amih khaw Pathen loh yoethen a paek tih, “Pungtai uh lamtah ping uh. Tuitunli kah tui dongah khaw baetawt uh. Vaa long khaw diklai ah pungtai saeh,” a ti.
010117003b	Te vaengah hlaem neh mincang aka om te a nga khohnin la om.
01011800b4	Te phoeiah Pathen loh, “Diklai loh mulhing hinglu te amah hui la, rhamsa khaw, rhulcai khaw, diklai mulhing khaw amah hui la thoeng sak saeh,” a ti. Te dongah thoeng tangloeng.
01011900a0	Te dongah Pathen loh diklai mulhing te amah hui la, rhamsa te khaw amah hui la, diklai rhulcai boeih khaw amah hui la a saii. Te te Pathen loh a then la a hmuh.
01011a0103	Te phoeiah Pathen loh, “Mamih mueiloh la mamih muei neh hlang saii uh sih lamtah tuitunli kah nga soah khaw, vaan kah vaa soah khaw, rhamsa soah khaw, diklai kah a cungkuem soah khaw, diklai ah aka colh rhulcai cungkuem soah khaw, taemrhai uh saeh,” a ti.
01011b006c	Te dongah Pathen loh, amah muei la hlang a suen. Pathen kah muei la tongpa khaw a suen tih huta khaw a suen.
01011c00f9	Te phoeiah Pathen loh amih rhoi te yoethen a paek tih Pathen loh amih rhoi taengah, “Pungtai uh lamtah ping uh. Diklai khaw khulae uh lamtah tuitunli kah nga khaw, vaan kah vaa khaw, diklai kah aka yuel mulhing boeih khaw, khoem rhoi,” a ti nah.
01011d00cb	Te phoeiah Pathen loh, “Diklai hman boeih kah a tii aka om baelhing boeih neh a thaih ah a muu aka om thing neh, thing boeih khaw nangmih ham ka khueh coeng ne, nangmih ham cakok la om ni,” a ti nah.
01011e00e5	Te phoeiah, “Diklai kah mulhing boeih khaw, vaan kah vaa boeih khaw, diklai ah aka tat tih amah dongah hingnah hinglu aka khueh boeih khaw, baelhing hingsuep boeih te cakok la om saeh,” a ti nah. Te dongah om tangloeng coeng.
01011f0077	Pathen loh a saii boeih te a sawt vaengah bahoeng then coeng ne. Te vaengah hlaem neh mincang om tih a rhuk hnin la om.
