0100000007	Geneză
0101010032	La început Dumnezeu a creat cerul şi pământul.
0101020093	Şi pământul era fără formă şi gol; şi întuneric era peste suprafaţa adâncului. Şi Duhul lui Dumnezeu se mişca peste suprafaţa apelor.
0101030039	Şi Dumnezeu a spus: Să fie lumină! Şi a fost lumină.
010104005d	Şi Dumnezeu a văzut lumina, că era bună; şi Dumnezeu a despărţit lumina de întuneric.
0101050076	Şi Dumnezeu a numit lumina zi şi întunericul l-a numit noapte. Şi a fost o seară şi o dimineaţă: ziua întâi.
0101060065	Şi Dumnezeu a spus: Să fie o întindere în mijlocul apelor şi aceasta să despartă apele de ape.
0101070093	Şi Dumnezeu a făcut întinderea şi a despărţit apele care erau dedesubtul întinderii de apele care erau deasupra întinderii şi aşa a fost.
0101080059	Şi Dumnezeu a numit întinderea cer. Şi a fost o seară şi o dimineaţă: ziua a doua.
0101090067	Şi Dumnezeu a spus: Apele de sub cer să se adune la un loc şi să se arate uscatul. Şi aşa a fost.
01010a007c	Şi Dumnezeu a numit uscatul pământ, şi adunarea apelor a numit-o mări; şi Dumnezeu a văzut că lucrul acesta era bun.
01010b00c1	Şi Dumnezeu a spus: Să dea pământul iarbă, verdeaţa care aduce sămânţă şi pomi roditori care aduc rod după felul lor, a căror sămânţă este în ei, pe pământ. Şi aşa a fost.
01010c00cb	Şi pământul a dat iarbă şi verdeaţă care aduce sămânţă după felul ei şi pomi care aduc rod, a căror sămânţă era în ei, după felul lor; şi Dumnezeu a văzut că lucrul acesta era bun.
01010d0034	Şi a fost o seară şi o dimineaţă: ziua a treia.
01010e00af	Şi Dumnezeu a spus: Să fie luminători în întinderea cerului pentru a despărţi ziua de noapte; şi ei să fie pentru semne şi pentru anotimpuri şi pentru zile şi ani;
01010f006a	Şi ei să fie ca luminători în întinderea cerului pentru a da lumină peste pământ. Şi aşa a fost.
01011000af	Şi Dumnezeu a făcut doi luminători mari: luminătorul mai mare pentru a stăpâni ziua şi luminătorul mai mic pentru a stăpâni noaptea; el a făcut de asemenea stelele.
0101110050	Şi Dumnezeu i-a pus în întinderea cerului pentru a da lumină peste pământ,
0101120089	Şi pentru a stăpâni peste zi şi peste noapte şi să despartă lumina de întuneric; şi Dumnezeu a văzut că lucrul acesta era bun.
0101130034	Şi a fost o seară şi o dimineaţă: ziua a patra.
010114009d	Şi Dumnezeu a spus: Apele să dea abundent fiinţa mişcătoare care are viaţă şi păsări să zboare deasupra pământului pe faţa întinderii cerului.
01011500df	Şi Dumnezeu a creat balene mari şi fiecare vieţuitoare care se mişcă, pe care apele le-au dat abundent, după felul lor, şi fiecare pasăre înaripată, după felul ei; şi Dumnezeu a văzut că lucrul acesta era bun.
010116009c	Şi Dumnezeu le-a binecuvântat, spunând: Fiţi roditori şi înmulţiţi-vă şi umpleţi apele în mări, şi pasărea să se înmulţească pe pământ.
0101170035	Şi a fost o seară şi o dimineaţă: ziua a cincea.
0101180096	Şi Dumnezeu a spus: Să dea pământul fiinţa vie după felul ei, vite şi târâtoare şi fiare ale pământului, după felul lor. Şi aşa a fost.
01011900ba	Şi Dumnezeu a făcut fiara pământului, după felul ei, şi vite, după felul lor, şi fiecare târâtoare pe pământ, după felul ei; şi Dumnezeu a văzut că lucrul acesta era bun.
