2800000009	Mattheüs
280101004a	Geslachtboek van Jezus Christus, den zoon van David, den zoon van Abraham.
2801020052	Abraham gewon Isaäk, en Isaäk gewon Jakob, en Jakob gewon Juda en zijn broeders.
2801030051	Juda gewon Phares en Zara bij Thamar, en Phares gewon Esron, en Esron gewon Aram.
280104004d	En Aram gewon Aminadab, en Aminadab gewon Naässon, en Naässon gewon Salmon.
2801050053	En Salmon gewon Boas bij Rachab, en Boas gewon Obed bij Rutli, en Obed gewon Jesse.
280106004e	En Jesse gewon David, den koning. David nu gewon Salomo bij de vrouw van Uria.
2801070044	En Salomo gewon Rehabeam, en Rehabeam gewon Abia, en Abia gewon Asa.
2801080043	En Asa gewon Josafat, en Josafat gewon Joram, en Joram gewon Ozias.
2801090046	En Ozias gewon Joatham, en Joatham gewon Achaz, en Achaz gewon Hiskia.
28010a0045	En Hiskia gewon Manasse, en Manasse gewon Amon, en Amon gewon Josias.
28010b0052	En Josias gewon Jechonias en zijn broeders, ten tijde der wegvoering naar Babylon.
28010c005c	En na de wegvoering naar Babyion, gewon Jechonias Salathiël, en Salathiël gewon Zorobabel.
28010d0048	En Zorobabel gewon Abiud, en Abiud gewon Eliakim, en Eliakim gewon Azor.
28010e0040	En Azor gewon Sadok, en Sadok gewon Achim, en Achim gewon Eliud.
28010f0047	En Eliud gewon Eleazar, en Eleazar gewon Mathan, en Mathan gewon Jakob.
2801100054	En Jakob gewon Jozef, den man van Maria, uit wie geboren is Jezus, genaamd Christus.
28011100cb	Al de geslachten dus van Abraham tot David zijn veertien geslachten; en van David tot de wegvoering naar Babylon, veertien geslachten; en van de wegvoering naar Babylon tot Christus, veertien geslachten.
28011200b1	De geboorte van Jezus Christus nu was aldus. Terwijl zijn moeder Maria ondertrouwd was met Jozef, werd zij zwanger bevonden uit den Heiligen Geest, éér zij samengekomen waren.
2801130075	Jozef nu, haar man, die rechtvaardig was en haar niet wilde te schande maken, was van zin haar heimelijk te verlaten.
28011400df	Maar ziet, toen hij dit in den zin had, verscheen een engel des Heeren hem in een droom, zeggende: Jozef, zoon van David! Vrees niet Maria uw vrouw tot u te nemen, want hetgeen in haar is verwekt, is uit den Heiligen Geest;
280115006f	En zij zal een zoon baren, en gij zult zijn naam Jezus noemen, want Hij zal zijn volk verlossen van hun zonden.
280116006f	Dit alles nu is geschied, opdat zou vervuld worden hetgeen de Heere gesproken heeft door den profeet, die zegt:
2801170079	Ziet, de maagd zal zwanger worden en een zoon baren en men zal zijn naam Emmanuël noemen, dat is overgezet: God met ons.
2801180074	En Jozef uit den slaap ontwaakt zijnde, deed gelijk de engel des Heeren hem geboden had, en nam zijn vrouw tot zich.
2801190067	En hij bekende haar niet, totdat zij haar eerstgeboren zoon gebaard had. En hij noemde zijn naam Jezus.
280201008c	Toen nu Jezus geboren was te Bethlehem in Judea, in de dagen van den koning Herodes, ziet, daar kwamen wijzen uit het Oosten naar Jerusalem,
280202008b	zeggende: Waar is de koning der Joden, die geboren is? want wij hebben zijn ster in het opgaan gezien, en zijn gekomen om Hem te aanbidden.
280203004e	De koning Herodes nu, dit hoorende, werd ontroerd en geheel Jerusalem met hem.
2802040085	En al de overpriesters en schriftgeleerden des volks samengeroepen hebbende, vroeg hij aan dezen waar de Christus zou worden geboren.
2802050059	En zij zeiden tot hem: Te Bethlehem in Judea, want zoo is er geschreven door den profeet:
280206009a	Gij Bethlehem, land van Juda, zijt geenszins de minste onder de prinsen van Juda; uit u toch zal een Vorst voortkomen, die mijn volk Israël zal besturen.
2802070070	Toen riep Herodes de wijzen in ‘t geheim en vroeg hun nauwkeurig naar den tijd dat de ster hun verschenen was.
28020800b7	En hij zond hen naar Bethlehem en zeide: Gaat heen en doet nauwkeurig onderzoek naar het kind, en als gij het gevonden hebt, boodschapt het mij dan, opdat ik ook kome en het aanbidde.
28020900b6	Zij nu den koning gehoord hebbende, reisden heen. En ziet, de ster die zij in het opgaan gezien hadden, ging hun voor, totdat zij kwam en stilstond boven de plaats waar het kind was.
28020a0047	Toen zij nu de ster zagen, verheugden zij zich met zeer groote vreugde.
