0100000018	उत्पत्ती
0101010079	परमेश्वराने प्रथम आकाश व पृथ्वी निर्माण केली.
010102011a	आता पृथ्वी निराकार आणि रिकामी होती, खोलवर अंधार पसरला होता आणि परमेश्वराचा आत्मा पाण्यावर पाखर घालीत होता.
0101030093	नंतर परमेश्वराने म्हटले: “प्रकाश होवो” आणि प्रकाश झाला.
01010400df	परमेश्वराने पाहिले की, प्रकाश चांगला आहे आणि त्यांनी अंधारापासून प्रकाश वेगळा केला.
0101050121	परमेश्वराने प्रकाशाला “दिवस” आणि अंधाराला “रात्र” असे नाव दिले आणि संध्याकाळ झाली व सकाळ झाली; हा पहिला दिवस.
0101060104	पुन्हा परमेश्वराने म्हटले, “जलाशयाच्या मध्यभागी अंतराळ होवो आणि ते जलापासून जलांची विभागणी करो.”
010107010b	परमेश्वराने अंतराळ निर्माण केले व अंतराळाच्या वरचे जल आणि खालचे जल अशी विभागणी केली आणि तसे घडून आले.
01010800e5	परमेश्वराने अंतराळास “आकाश” असे नाव दिले आणि संध्याकाळ झाली व सकाळ झाली; हा दुसरा दिवस.
0101090101	नंतर परमेश्वराने म्हटले: “अंतराळाखालील जले एकत्र येवो व कोरडी जमीन दृष्टीस पडो” आणि तसे घडून आले.
01010a0127	परमेश्वराने कोरड्या जमिनीस “भूमी” व जलांच्या संचयास “सागर” अशी नावे दिली. परमेश्वराने पाहिले की, हे चांगले आहे.
01010b01bc	मग परमेश्वराने म्हटले, “भूमीतून वनस्पतीचा उपज होवो: निरनिराळी रोपे व झाडे, फळे देणारी व त्या फळातच स्वजातीचे बीज असणार्‍या फळझाडांचा भूमीतून उपज होवो” आणि तसे घडून आले.
01010c015b	भूमीने वनस्पतीचा उपज केला: फळे देणारी व त्या फळातच स्वजातीचे बीज असणारी फळझाडे भूमीने उपजविली. परमेश्वराने पाहिले की हे चांगले आहे.
01010d0076	आणि संध्याकाळ झाली व सकाळ झाली; हा तिसरा दिवस.
