010000000c	ਉਤਪਤ
010101007a	ਆਦ ਵਿੱਚ ਪਰਮੇਸ਼ੁਰ ਨੇ ਅਕਾਸ਼ ਅਤੇ ਧਰਤੀ ਨੂੰ ਸਿਰਜਿਆ।
0101020102	ਧਰਤੀ ਬੇਡੌਲ ਅਤੇ ਵਿਰਾਨ ਸੀ ਅਤੇ ਡੁੰਘਿਆਈ ਉੱਤੇ ਹਨ੍ਹੇਰਾ ਸੀ, ਪਰਮੇਸ਼ੁਰ ਦਾ ਆਤਮਾ ਪਾਣੀਆਂ ਦੇ ਉੱਤੇ ਮੰਡਲਾਉਂਦਾ ਸੀ।
0101030070	ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ, ਚਾਨਣ ਹੋਵੇ, ਤਦ ਚਾਨਣ ਹੋ ਗਿਆ।
01010400d9	ਪਰਮੇਸ਼ੁਰ ਨੇ ਚਾਨਣ ਨੂੰ ਵੇਖਿਆ ਕਿ ਚੰਗਾ ਹੈ, ਪਰਮੇਸ਼ੁਰ ਨੇ ਚਾਨਣ ਨੂੰ ਹਨ੍ਹੇਰੇ ਤੋਂ ਵੱਖਰਾ ਕੀਤਾ।
0101050108	ਪਰਮੇਸ਼ੁਰ ਨੇ ਚਾਨਣ ਨੂੰ ਦਿਨ ਆਖਿਆ ਅਤੇ ਹਨ੍ਹੇਰੇ ਨੂੰ ਰਾਤ ਆਖਿਆ। ਇਸ ਤਰ੍ਹਾਂ ਸ਼ਾਮ ਤੇ ਸਵੇਰ ਹੋਈ, ਇਹ ਪਹਿਲਾ ਦਿਨ ਹੋਇਆ।
01010600e6	ਫੇਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ, ਪਾਣੀਆਂ ਦੇ ਵਿਚਕਾਰ ਅੰਬਰ ਹੋਵੇ ਅਤੇ ਉਹ ਪਾਣੀਆਂ ਨੂੰ ਪਾਣੀਆਂ ਤੋਂ ਵੱਖਰਾ ਕਰੇ।
010107012e	ਸੋ ਪਰਮੇਸ਼ੁਰ ਨੇ ਅੰਬਰ ਨੂੰ ਬਣਾਇਆ ਅਤੇ ਅੰਬਰ ਦੇ ਹੇਠਲੇ ਪਾਣੀਆਂ ਨੂੰ ਅੰਬਰ ਦੇ ਉੱਪਰਲੇ ਪਾਣੀਆਂ ਤੋਂ ਵੱਖਰਾ ਕੀਤਾ ਅਤੇ ਅਜਿਹਾ ਹੀ ਹੋ ਗਿਆ।
01010800d8	ਤਦ ਪਰਮੇਸ਼ੁਰ ਨੇ ਅੰਬਰ ਨੂੰ ਅਕਾਸ਼ ਆਖਿਆ, ਇਸ ਤਰ੍ਹਾਂ ਸ਼ਾਮ ਤੇ ਸਵੇਰ ਹੋਈ ਅਤੇ ਇਹ ਦੂਜਾ ਦਿਨ ਹੋਇਆ।
0101090119	ਫੇਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ ਕਿ ਅਕਾਸ਼ ਦੇ ਹੇਠਲੇ ਪਾਣੀ ਇੱਕ ਥਾਂ ਇਕੱਠੇ ਹੋ ਜਾਣ ਤਾਂ ਜੋ ਸੁੱਕੀ ਜ਼ਮੀਨ ਦਿਸੇ ਅਤੇ ਅਜਿਹਾ ਹੀ ਹੋ ਗਿਆ।
01010a0114	ਪਰਮੇਸ਼ੁਰ ਨੇ ਸੁੱਕੀ ਜ਼ਮੀਨ ਨੂੰ ਧਰਤੀ ਆਖਿਆ, ਪਾਣੀਆਂ ਦੇ ਇਕੱਠ ਨੂੰ ਸਮੁੰਦਰ ਆਖਿਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਵੇਖਿਆ ਕਿ ਇਹ ਚੰਗਾ ਹੈ।
01010b0189	ਫੇਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ ਕਿ ਧਰਤੀ ਘਾਹ, ਬੀਜ ਵਾਲਾ ਸਾਗ ਪੱਤ ਅਤੇ ਫਲਦਾਰ ਰੁੱਖ ਉਗਾਵੇ ਜਿਹੜੇ ਆਪੋ-ਆਪਣੀ ਕਿਸਮ ਦੇ ਅਨੁਸਾਰ ਬੀਜ ਵਾਲਾ ਫਲ ਧਰਤੀ ਉੱਤੇ ਪੈਦਾ ਕਰਨ ਅਤੇ ਅਜਿਹਾ ਹੀ ਹੋ ਗਿਆ।
01010c0191	ਸੋ ਧਰਤੀ ਨੇ ਘਾਹ ਤੇ ਬੀਜ ਵਾਲਾ ਸਾਗ ਪੱਤ ਉਹ ਦੀ ਕਿਸਮ ਦੇ ਅਨੁਸਾਰ ਤੇ ਫਲਦਾਰ ਰੁੱਖ ਜਿਨ੍ਹਾਂ ਵਿੱਚ ਆਪੋ-ਆਪਣੀ ਕਿਸਮ ਦੇ ਅਨੁਸਾਰ ਬੀਜ ਹੈ, ਉਗਾਇਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਵੇਖਿਆ ਕਿ ਇਹ ਚੰਗਾ ਹੈ।
01010d0073	ਇਸ ਤਰ੍ਹਾਂ ਸ਼ਾਮ ਤੇ ਸਵੇਰ ਹੋਈ, ਇਹ ਤੀਜਾ ਦਿਨ ਹੋਇਆ।
01010e0183	ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ ਕਿ ਅਕਾਸ਼ ਦੇ ਅੰਬਰ ਵਿੱਚ ਤੇਜ਼ ਰੌਸ਼ਨੀਆਂ ਚਮਕਣ ਜਿਹੜੀਆਂ ਦਿਨ ਨੂੰ ਰਾਤ ਤੋਂ ਅਲੱਗ ਕਰਨ, ਇਹ ਸਮਿਆਂ, ਨਿਸ਼ਾਨੀਆਂ, ਰੁੱਤਾਂ, ਵਰਿਆਂ ਅਤੇ ਦਿਨਾਂ ਨੂੰ ਠਹਿਰਾਉਣ।
01010f00ca	ਓਹ ਅਕਾਸ਼ ਦੇ ਅੰਬਰ ਵਿੱਚ ਤੇਜ਼ ਰੌਸ਼ਨੀਆਂ ਹੋਣ ਜੋ ਧਰਤੀ ਉੱਤੇ ਚਮਕਣ ਅਤੇ ਅਜਿਹਾ ਹੀ ਹੋ ਗਿਆ।
010110015a	ਪਰਮੇਸ਼ੁਰ ਨੇ ਦੋ ਵੱਡੀਆਂ ਰੌਸ਼ਨੀਆਂ ਬਣਾਈਆਂ - ਵੱਡੀ ਰੋਸ਼ਨੀ ਜਿਹੜੀ ਦਿਨ ਉੱਤੇ ਰਾਜ ਕਰੇ ਅਤੇ ਛੋਟੀ ਰੋਸ਼ਨੀ ਜਿਹੜੀ ਰਾਤ ਉੱਤੇ ਰਾਜ ਕਰੇ, ਉਸ ਨੇ ਤਾਰੇ ਵੀ ਬਣਾਏ।
01011100b5	ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਅਕਾਸ਼ ਦੇ ਅੰਬਰ ਵਿੱਚ ਰੱਖਿਆ ਜੋ ਧਰਤੀ ਉੱਤੇ ਚਾਨਣ ਕਰਨ
01011200ef	ਅਤੇ ਦਿਨ, ਰਾਤ ਉੱਤੇ ਰਾਜ ਕਰਨ ਅਤੇ ਚਾਨਣ ਨੂੰ ਹਨ੍ਹੇਰੇ ਤੋਂ ਅਲੱਗ ਕਰਨ। ਪਰਮੇਸ਼ੁਰ ਨੇ ਵੇਖਿਆ ਕਿ ਇਹ ਚੰਗਾ ਹੈ।
0101130076	ਇਸ ਤਰ੍ਹਾਂ ਸ਼ਾਮ ਅਤੇ ਸਵੇਰ ਹੋਈ, ਇਹ ਚੌਥਾ ਦਿਨ ਹੋਇਆ।
0101140113	ਫੇਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ ਕਿ ਪਾਣੀ ਜੀਉਂਦੇ ਪ੍ਰਾਣੀਆਂ ਨਾਲ ਭਰ ਜਾਣ ਅਤੇ ਪੰਛੀ ਧਰਤੀ ਤੋਂ ਉਤਾਹਾਂ ਅਕਾਸ਼ ਦੇ ਅੰਬਰ ਵਿੱਚ ਉੱਡਣ।
010115022f	ਪਰਮੇਸ਼ੁਰ ਨੇ ਵੱਡੇ-ਵੱਡੇ ਜਲ ਜੰਤੂਆਂ ਨੂੰ ਅਤੇ ਸਾਰੇ ਚੱਲਣ ਵਾਲੇ ਜੀਉਂਦੇ ਪ੍ਰਾਣੀਆਂ ਨੂੰ ਉਤਪਤ ਕੀਤਾ, ਉਨ੍ਹਾਂ ਦੀ ਪ੍ਰਜਾਤੀ ਅਨੁਸਾਰ ਪਾਣੀ ਭਰ ਗਏ, ਨਾਲੇ ਸਾਰੇ ਪੰਛੀਆਂ ਨੂੰ ਵੀ ਉਨ੍ਹਾਂ ਦੀ ਪ੍ਰਜਾਤੀ ਅਨੁਸਾਰ ਉਤਪਤ ਕੀਤਾ, ਪਰਮੇਸ਼ੁਰ ਨੇ ਵੇਖਿਆ ਕਿ ਇਹ ਚੰਗਾ ਹੈ।
0101160120	ਪਰਮੇਸ਼ੁਰ ਨੇ ਇਹ ਆਖ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਅਸੀਸ ਦਿੱਤੀ, ਫਲੋ ਅਤੇ ਵਧੋ ਤੇ ਸਮੁੰਦਰਾਂ ਦੇ ਪਾਣੀਆਂ ਨੂੰ ਭਰ ਦਿਓ ਅਤੇ ਪੰਛੀ ਧਰਤੀ ਉੱਤੇ ਵਧਣ।
010117007c	ਇਸ ਤਰ੍ਹਾਂ ਸ਼ਾਮ ਅਤੇ ਸਵੇਰ ਹੋਈ, ਇਹ ਪੰਜਵਾਂ ਦਿਨ ਹੋਇਆ।
01011801e6	ਫੇਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਖਿਆ ਕਿ ਧਰਤੀ ਜੀਉਂਦੇ ਪ੍ਰਾਣੀਆਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਪ੍ਰਜਾਤੀ ਦੇ ਅਨੁਸਾਰ ਤੇ ਪਸ਼ੂਆਂ ਨੂੰ, ਘਿੱਸਰਨ ਵਾਲਿਆਂ ਨੂੰ, ਧਰਤੀ ਦੇ ਜਾਨਵਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਪ੍ਰਜਾਤੀ ਦੇ ਅਨੁਸਾਰ ਉਪਜਾਵੇ ਅਤੇ ਅਜਿਹਾ ਹੀ ਹੋ ਗਿਆ।
010119021f	ਪਰਮੇਸ਼ੁਰ ਨੇ ਧਰਤੀ ਦੇ ਜਾਨਵਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਪ੍ਰਜਾਤੀ ਦੇ ਅਨੁਸਾਰ ਅਤੇ ਜਾਨਵਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਪ੍ਰਜਾਤੀ ਦੇ ਅਨੁਸਾਰ, ਜ਼ਮੀਨ ਦੇ ਸਾਰੇ ਘਿੱਸਰਨ ਵਾਲਿਆਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਪ੍ਰਜਾਤੀ ਦੇ ਅਨੁਸਾਰ ਬਣਾਇਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਵੇਖਿਆ ਕਿ ਇਹ ਚੰਗਾ ਹੈ।
