0100000009	Kutendeka
010101002c	Pa kutendeka Leza waalengele myulu ni kyalo.
01010200a6	Ozo musita, kyalo kyaali kyali sie kibeebeebe, kabili tekuba mwali kantu, ni nfinzi yaali yakupiliile pa menda azikile. Inzi Mweo wakua Leza waali walela peulu menda.
010103003e	Leza waalandile evi, “Kube kisue!” Ni kisue kya-alukileko.
010104004c	Leza waamwene nangue kisue kyaali kyaweme. Waalekenkaniizie kisue ni nfinzi.
010105009b	Kisue Leza waakiinikile musita wa koba, ni nfinzi waiinikile busiku. Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa mambo.
0101060067	Kabili Leza waalandile evi, “Kube lweleele pa bukata bwa menda pakuti lulekenkanie menda ni menda.”
010107006d	Evi Leza waakitile lweleele ni kulekekania menda ali pensina lweleele ku menda ali mu muulu. Evio i vikyaali.
0101080079	Lweleele Leza waalwinikile lyulu. Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa bubili.
0101090072	Kabili Leza waalandile evi, “Menda a pa kyalo akolonghane pa nkendo imo, evi musili umoneke.” Evio i vikyaali.
01010a006f	Musili Leza wawinikile kyalo, ni menda aakolongheene pamo waenikile lyezi. Leza waamwene nangue kyaali kyaweme.
01010b00c8	Kabili Leza waalandile evi, “Kyalo kimenie bikusi ni saasa uliwaseekako mbezu ilekenkeene, ni bimuti bilibyaseekako mazabo kukonkana ni misango yabyo, mazabo ali ni mbezu mukati.” Evio i vikyaali.
01010c00cf	Kyalo kyaameniizie bikusi ni saasa uliwaseekako mbezu ilekenkeene, ni bimuti bilibyaseekako mazabo kukonkana ni misango yabyo, mazabo ali ni mbezu mukati. Leza wamwene nangue kyaali kyaweme. Evio i vikyaali.
01010d0057	Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa butatu.
01010e00a3	Kabili Leza waalandile evi, “Misaniko imoneke mu lyulu ya kuti ilekenkanie musita wa koba ni musita wa busiku, kuti iye yali tulangi twa nsita ni nsiku ni myaka,
01010f0053	kabili misaniko iye yali mu lyulu kuti iye yasanikila pa kyalo.” Evio i vikyaali.
01011000a6	Leza waakitile misaniko ibili ikata, musaniko utaniisie uye wasanikila musita wa koba, ni ukeepeleko uye wasanikila musita wa busiku. Kabili Leza waakitile ni ntanda.
010111003f	Leza waabiikile misaniko mu lyulu kuti iye yasanikila pa kyalo,
0101120076	iye yateeka musita wa koba ni wa busiku, evi iye yalekenkaniizie kisue ni nfinzi. Leza waamwene nangue kyaali kyaweme.
0101130055	Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa buna.
0101140081	Kabili Leza waalandile evi, “Mu menda mube bilengua bikose bilibyaenda, ni mu lweleele mube byoni bilibyapupuka peulu kyalo.”
01011500d6	Leza waalengele bilengua bikata bya mu lyezi mu misango yabyo, ni bilengua bikose bilibyaenda mu menda mu misango yabyo pamo ni byoni bilibyapupuka mu lweleele mu misango yabyo. Leza waamwene nangue kyaali kyaweme.
010116006f	Leza waabipaalile walanda bivyalane, bisanduluke ni kwizula mu menda a mu lyezi, ni byoni bisanduluke mu kyalo.
