2800000007	Matthew
2801010050	THE book of the nativity of Jesus the Messiah, the son of David, son of Abraham.
280102004b	Abraham begat Isaac: Isaac begat Jacob: Jacob begat Judah and his brothers:
280103004c	Judah begat Pharez and Zara of Tamar: Pharez begat Hezron: Hezron begat Ram:
2801040041	Ram begat Aminadab: Aminadab begat Nahshon: Nahshon begat Salmon:
2801050046	Salmon begat Boaz of Rahab: Boaz begat Obed of Ruth: Obed begat Jesse:
2801060045	Jesse begat David the king: David begat Solomon of the wife of Uriah:
280107003c	Solomon begat Rehoboam: Rehoboam begat Abia: Abia begat Asa:
2801080043	Asa begat Jehoshaphat: Jehoshaphat begat Joram: Joram begat Uzziah:
280109003c	Uzziah begat Jotham: Jotham begat Ahaz: Ahaz begat Hezekiah:
28010a0040	Hezekiah begat Manasseh: Manasseh begat Amon: Amon begat Josiah:
28010b0044	Josiah begat Jeconiah and his brothers, in the captivity of Babylon.
28010c0059	And after the captivity of Babylon, Jeconiah begat Salathiel: Salathiel begat Zerubbabel:
28010d0040	Zerubbabel begat Abiud: Abiud begat Eliakim: Eliakim begat Azor:
28010e0037	Azor begat Zadok: Zadok begat Achim: Achim begat Eliud:
28010f0040	Eliud begat Eleazar: Eleazar begat Matthan: Matthan begat Jacob:
280110005a	Jacob begat Joseph, the husband of Mary, of whom was born Jesus who is called the Messiah.
28011100d8	All the generations, therefore, are, from Abraham to David fourteen generations, and from David to the captivity of Babylon fourteen generations, and from the captivity of Babylon to the Messiah fourteen generations.
28011200a9	And the birth of Jesus the Messiah was thus. While his mother Mary was betrothed to Joseph, before they had cohabited, she was found to be with child by the Holy Spirit.
2801130076	And Joseph her husband was a righteous man, and unwilling to expose her: and he thought of putting her away privately.
28011400dc	And while he contemplated these things, an angel of the Lord appeared to him in a dream, and said to him: Joseph, son of David, fear not to take Mary thy wife; for that which is conceived in her, is from the Holy Spirit:
2801150070	and she will bear a son; and thou shalt call his name Jesus, for he will resuscitate his people from their sins.
2801160056	Now all this that occurred, was to fulfill what was spoken of the Lord by the prophet:
2801170082	Behold, a virgin will conceive, and will bear a son, and thou shalt call his name Emmanuel, which is interpreted, Our God with us.
2801180066	And when Joseph rose from his sleep, he did as the angel of the Lord commanded him, and took his wife.
2801190055	And he knew her not, until she had borne her firstborn son, and called is name Jesus.
280201007c	Now when Jesus was born in Bethlehem of Judaea, in the days of Herod the king, there came Magi from the east unto Jerusalem,
2802020078	saying: Where is the king of the Jews that is born? For we have seen his star in the east, and have come to worship him.
280203004b	And Herod the king heard, and he was disturbed; and all Jerusalem with him.
280204008b	And he assembled all the chiefs of the priests and the scribes of the people, and inquired of them, Where is the birthplace of the Messiah?
280205004d	And they said: In Bethlehem of Judaea; for thus it is written in the prophet:
280206008e	Thou also, Bethlehem of Judaea, art not the little among the kings of Judaea, for a king shall come from thee who shall rule my people Israel.
2802070063	Then Herod privately called the Magi, and learned from them at what time the star appeared to them.
28020800a7	And he sent them to Bethlehem, and said to them, Go, search diligently for the child; and when ye have found him, come and tell me, that I also may go and worship him.
28020900a9	And they, when they had heard from the king, went forward: and lo, the star they had seen in the east went before them, until it came and stood over where the child was.
28020a003f	And when they saw the star, they rejoiced much, with great joy.
28020b00d0	And they entered the house; and they saw the child, with Mary his mother; and they fell down and worshipped him: and they opened their treasures, and presented to him gifts, gold, and myrrh, and frankincense.
28020c007b	And it was shown them in a dream, that they should not return to Herod. And by another way, they returned to their country.
28020d00f0	And when they were gone, an angel of the Lord appeared to Joseph in a dream, and said to him, Arise, take the child and his mother, and flee into Egypt; and be thou there, until I tell thee: for Herod will seek for the child, to destroy it.
