2800000005	Mateu
2801010054	Atsea esti cartea a farãljei al Isus Hristos, hiljilu al David, hiljilu al Avraham.
2801020072	Al Abrahamu lji s-amintã Isacul, al Isac lji s-amintã Iacovul. Al Iacovu lji s-amintã Iuda shi fratsilji a lui,
2801030079	al Iuda lji s-amintã di la Tamara Faresul shi Zara. Al Faresul lji s-amintã Hezromul, al Hezromul lji s-amintã Aramul,
280104006a	al Aramu lji s-amintã Aminadabul, al Aminadabu lji s-amintã Naasonul, al Naasonu lji s-amintã Salmonul,
2801050077	al Salmonu lji s-amintã Boazul di la Rahabi, al Boazu lji s-amintã Obedul di la Ruth, al Obedu lji s-amintã Iesseul,
2801060072	al Iesse lji s-amintã Davidul amirã. Al amirãlu David lji s-amintã Solomonul di la muljeara tsi eara al Uriah,
2801070066	al Solomonu lji s-amintã Roboamul, al Roboamu lji s-amintã Abiahul, al Abiahul lji s-amintã Asaful,
2801080064	al Asafu lji s-amintã Iosafatul, al Iosafatu lji s-amintã Ioramul, al Ioramu lji s-amintã Oziaul,
2801090060	al Oziau lji s-amintã Ioatamul, al Ioatamu lji s-amintã Ahazul, al Ahazu lji s-amintã Ezekia,
28010a0060	al Ezekia lji s-amintã Manaseul, al Manaseu lji s-amintã Amonul, al Amonu lji s-amintã Iosia,
28010b0056	al Iosia lji s-amintã Iekonia shi fratsilji a lui tu chirolu a mutariljei tu Babilon.
28010c0065	Dupã mutarea tu Babilon al Iekonia lji s-amintã Salatielul, al Salatielu lji s-amintã Zorobabelul,
28010d0069	al Zorobabelu lji s-amintã Abiudul, al Abiudu lji s-amintã Eliakimul, al Eliakimu lji s-amintã Azorul,
28010e0061	al Azoru lji s-amintã Sadokul, al Sadoku lji s-amintã Achimul, al Achimu lji s-amintã Eliudul,
28010f0068	al Eliudu lji s-amintã Eleazarul, al Eleazaru lji s-amintã Mathanul, al Mathanu lji s-amintã Iacovul,
2801100069	al Iacovu lji s-amintã Iosiful, bãrbatilu ali Marii, di la ea s-amintã Isusul, tsi s-acljimã Hristos.
2801110100	Ashã cã tuti gheneratili di la Abrahamul pãnã la Davidul s-fac patrusprãdzatsi di ghenerati, shi di la Davidul pãnã la mutarea tu Babilon, patrusprãdzatsi di ghenerati, shi di la mutarea tu Babilon pãnã la Hristolu, patrusprãdzatsi di ghenerati.
280112009c	Amintarea al Isus Hristolu fu ashã: Maria, muma a lui, eara susita al Iosif, ma, nãinti tsi s-apãrnjea s-bãna deadun, armasi greauã di la Duhlu Sãmtu.
2801130084	Atumtsea Iosiful, susitlu a ljei, tsi eara un om ndreptu sh-nu vrea s-u arushina nãintea a oamnjilor, apofãsi s-u alasã ascumtã.
28011400e7	Ma, iarã minduea singur aestu lucru, s-afãnisi tu yis un anghil di la Domnul sh-lji dzãsi: “Iosif, hiljilu al David, s-nu ai fricã s-u ljeai Maria ca muljeara a ta, cã tsi s-acãtsã tu nãsã easti lucru di la Duhlu Sãmtu.
2801150079	Shi ea va s-amintã un ficior, sh-tini va lji badzã numa Isus, cã elu va s-ascapã populu a lui di amãrtiili a lor.”
280116005a	Shi tutã aestã s-featsi tsi si mplineascã zborlu a Domnului dupã prufitul tsi dzãtsi:
2801170089	“Ia, virghina va armãnã greauã sh-va amintã un ficior, tsi va lj-bagã numa Emanuel,” tsi va s-dzãcã: “Dumnidzãlu cu noi.”
2801180081	Sh-Iosiful, dupã tsi si sculã di somnu, featsi ashã cum lu avea ursit anghilu a Domnului, sh-u lo ningã nãsu muljeara a lui.
2801190053	Ma elu nu u cunuscu, pãnã tsi ea amintã ficiorlu a ljei sh-elu lu acljimã Isus.
2802010091	Dupã tsi Isusul s-amintã tu Betlehem a Iudeiljei tu chirolu al amirãlu Ierod. Ia, niscãntsã shtiuts di la Rãsãrit agiumsirã la Ierusalem,
280202007d	dzãcãnda: “Iu easti amirãlu a Iudeilor, tsi s-amintã? Cã vidzum steaua a lui la Rãsãrit sh-vinim s-nã ncljinãm.”
280203005b	Amirãlu Ierod, cãndu avdzã aesti zboari, s-tulburã, sh-deadun cu nãsu tut Ierusalemlu.
2802040074	Sh-dupã tsi lã adunã tuts mãrilji a preftsãlor shi scriblji a popului, lji ntribã iu prindi s-aminta Hristolu.
280205005d	Sh-elji lji dzãsirã: “Tu Betlehemlu a Iudeiljei, cã ashã easti scriatã di la prufitlu:
28020600a1	‘Sh-tini, Betlehem, loc al Iuda, nu eshti ma njic di printsilji a Iudeiljei, cã di la tini va easã un conducãtor, tsi va pascã populu a meu, Israelu.’”
2802070091	Atumsea Ierodul lã acljimã pi ascumtu shtiutslji, sh-ntribã cu mari cãshtigã elji, di chirolu cãndu lu avea vidzutã steaua di prota oarã.
280208009e	Sh-lji pitricu la Betlehem sh-lã dzãsi: “Imnats shi ntribats ghini ti cilimeanlu. Sh-cãndu s-lu aflats, dimãndats-nji tsi s-yin sh-mini s-mi ncljinu.”
28020900a8	Sh-elji, dupã tsi lu avdzãrã amirãlu, fudzirã. Sh-ia, steaua tsi avea vidzutã la rãsãrit, s-dutsea nãintea a lor pãnã s-dãnãsi la loclu iu eara cilimeanlu.
28020a0032	Elji, cãndu u vidzurã steaua, s-hãrsirã multu.
28020b00c8	Sh-dupã tsi intrarã tu casã, vidzurã cilimeanlu cu Maria, muma a lui, shi cãdzurã pri dzinucljiu shi si ncljinarã. Deapoea disfeatsirã ayishtearea a lor sh-durusirã: furii, timeamã shi njir.
28020c0078	Dupã tsi Dumnidzãlu lã dimãndã tu yis tsi s-nu s-turna la Irod, elji s-turnarã tu loclu a lor pri unã altã cali.
28020d0112	Tora, dupã tsi shtiutslji s-nchisirã, ia, un anghil a Domnului lji si fãnirusi tu yis al Iosif shi lj-dzãsi: “Scoalã-ti, ljea cilimeanlu shi muma a lui sh-fudzi tu Eghiptu, shi shedz aclo pãnã s-tsã dzãc mini, cã Ierodul va lu caftã cilimeanlu ti vãtãmari.”
28020e0049	Elu, si sculã, lo cilimeanlu sh-muma a lui noaptea shi fudzi tu Eghiptu.
28020f0084	Armasi aclo pãnã muri Irodul, tsi si mplinea tsi eara dzãsã di Domnul prit prufitlu: “Lu acljimai hiljilu a meu di Eghyptu.”
2802100109	Atumtsea Ierodul, vidzãnda cã shtiutslji lu avea arãs, s-nãrãi multu sh-ordinã si s-vatãmã tuts cilimenjilji mascuri tsi eara tu Betlehem shi tu tuti locurili di anvãrliga a lui, di la doi anji sh-nghios, dupã chirolu tsi lu avea aflatã di la shtiutslji.
2802110045	Atumtsea si mplini atsea tsi eara dzãsã di la prufitlu Ieremia cã:
28021200a7	“Tu Ramã s-avdzã unã zghileari, unã vãitari, un plãngu shi patathimã mari. Rachela vãita hiljilji a ljei sh-nu va si s-diznjeardã, cã elji nu sãntu ma.”
