2a00000007	Lúcás
2a01010071	Do bhrígh gur ghabhadar mórán do láimh sdair do sgríobhadh air na neithibh agá bhfuil a sáirfhios aguinne,
2a01020089	Do réir mar thugadar na dáoine do chonnairc lé na súilibh rein ó thús, agus do bhí ag miniosdrálachd na bréithre, dhúinne íad;
2a010300ab	Do chonncas damhsa mar an gceudna, a Theophilus ro oirdheirc, ar bhfagháil feasa iomlan gach uile neithe ó na bhfíorthosach dhamh, a sgríobhadh chugadsa a nórdughadh,
2a0104003e	Do chum go mbía deimhin na mbriathar, do múineadh dhuit agad
2a010500a7	Re linn Iorúaith, rí thire Iúdaighe, do bhí sagart airighe dár bhainm Sacharías, do sheal Abía: agus a bhean dingheanuibh Aaróin, agus, Elísabet do baimn dhi.
2a01060099	Agus do bhádar a ráon nit ndáoinibh fíreanta a bhfíadhnuisi Dé, ag siobhal go neimhchiontach ann uile aitheantuibh agus órduighthibh an Tighearna.
2a0107006c	Agus ní raíbh, shiochd orrtha, do bhrígh go raibh Elisábet aimrid agus go raibh áois mhór aca ar áon.
2a01080062	Agus tárla, an tan do bhí sé ag déanamh oifige an tsagairt a bhfiadhnuisi Déann a sheal fein,
2a01090084	Do réir ghnáthuighthe oifige an tsagairt, go ráinic dhó an túis do losgadh tar éis dul a sdeach go teampoll an Tighearna dhó.
2a010a005d	Agus do bhí coimhthionól an phubail uile ag déanamh úrnuighe a muigh a naimsir na túise.
2a010b0063	Agus do taidhbhreadh dhó aingeal an Tighearna na sheasamh ar an dtáoibh ndeas daltóir na túise.
2a010c005c	Agus ar na fhaicsin do Shacharías, do bhí sé ar na bhúaidhreadh, agus do ghlac eagla é.
2a010d00b9	Achd a dubhairt an taingeal ris, Ná bíodh eagla ort, a Shacharías: óir do héisdeadh húrnuighe; agus béaruidh do bhean Elisábet mac dhuit, agus do bhéara tú Eóin mar ainm air.
2a010e0066	Agus budh gáirdeachus agus lúathgháire dhuit é; agus biaidh lúathghaire ar mhóran fa na bhreith.
2a010f00ad	Oir bíaidh sé na dhuine mhór a bhfíadhnuisi an Tighearna, agus ni íobha sé fíon na deoch láidir; agus fós bíaidh sé lan don Spiorad Náomh, ó bhroinn a mháthar.
2a0110004f	Agus fillfidh sé mórán do chlannuibh Israél chum an Tighearna a Ndia féin.
2a011100e7	Oir géubhaidh seisean roimhesan a spioraid agus a shubháilce Elias, dfilleadh chroidheadh na naithreach chum na cloinne, agus na neasmhal chum gliocuis na dáoine gcomhthrom; agus dullmhughadh phobuil dhiongmhálta don Tighearna.
2a01120092	Agus a dubhairt Sacharías ris an aingeal, Cionnas bhías a fhios so agamsa? óir a táim um dhuine arsuidh, agus a tá áois mhór ag am mhnáoi.
2a011300b6	Agus ar bhfreagra don aingeal a dubhairt sé ris, Is misi Gabríel, sheasas a bhfíadhnuisi Dé; agus do cuireadh mé do labhairt riotsa, agus dinnsin na núaidheachd maith so dhuit.
2a011400de	Agus, féuch, bíaidh tú gan úrlabhra, agus ní bá héidir leachd labhairt, go soithe an lá an a dtiocfaid na neithe so chum críche, do bhrígh nar chréid tu dom bhríathraibhsi, noch coimhlíonfuighear na nam féin.
2a01150068	Agus do bhí an pobal ag fuireach ré Sacharías, agus do biongnadh léo an fad do fhan sé sa teampoll.
2a011600ac	Agus ar ndul a mach dhó, nír bhéidir leis labhairt ríu: agus do aithnigheadar go bhfacaidh sé taidhbhsi sa teampoll: óir do sméid sé orrtha, agus do fhan sé balbh.
